date	name	value
2024-07-01T00:00:00	High Growth Pool	2.341810
2024-07-02T00:00:00	High Growth Pool	2.335290
2024-07-03T00:00:00	High Growth Pool	2.341480
2024-07-04T00:00:00	High Growth Pool	2.350820
2024-07-05T00:00:00	High Growth Pool	2.351270
2024-07-06T00:00:00	High Growth Pool	2.351270
2024-07-07T00:00:00	High Growth Pool	2.351270
2024-07-08T00:00:00	High Growth Pool	2.346090
2024-07-09T00:00:00	High Growth Pool	2.352190
2024-07-10T00:00:00	High Growth Pool	2.356410
2024-07-11T00:00:00	High Growth Pool	2.360640
2024-07-12T00:00:00	High Growth Pool	2.369350
2024-07-13T00:00:00	High Growth Pool	2.369350
2024-07-14T00:00:00	High Growth Pool	2.369350
2024-07-15T00:00:00	High Growth Pool	2.374660
2024-07-16T00:00:00	High Growth Pool	2.381670
2024-07-17T00:00:00	High Growth Pool	2.379870
2024-07-18T00:00:00	High Growth Pool	2.372210
2024-07-19T00:00:00	High Growth Pool	2.364500
2024-07-20T00:00:00	High Growth Pool	2.364500
2024-07-21T00:00:00	High Growth Pool	2.364500
2024-07-22T00:00:00	High Growth Pool	2.370410
2024-07-23T00:00:00	High Growth Pool	2.375690
2024-07-24T00:00:00	High Growth Pool	2.365290
2024-07-25T00:00:00	High Growth Pool	2.357120
2024-07-26T00:00:00	High Growth Pool	2.368510
2024-07-27T00:00:00	High Growth Pool	2.368510
2024-07-28T00:00:00	High Growth Pool	2.368510
2024-07-29T00:00:00	High Growth Pool	2.377100
2024-07-30T00:00:00	High Growth Pool	2.371970
2024-07-31T00:00:00	High Growth Pool	2.396300
2024-08-01T00:00:00	High Growth Pool	2.388680
2024-08-02T00:00:00	High Growth Pool	2.359110
2024-08-03T00:00:00	High Growth Pool	2.359110
2024-08-04T00:00:00	High Growth Pool	2.359110
2024-08-05T00:00:00	High Growth Pool	2.316780
2024-08-06T00:00:00	High Growth Pool	2.324700
2024-08-07T00:00:00	High Growth Pool	2.324030
2024-08-08T00:00:00	High Growth Pool	2.331100
2024-08-09T00:00:00	High Growth Pool	2.342560
