Financial Year,High Growth,Balanced,Socially Aware#,Indexed Diversified,Conservative Balanced,Stable,Australian Shares,International Shares,Property,Diversified Fixed Interest,Cash,Capital Guaranteed+,Australian Fixed Interest*,International Fixed Interest*,International Shares Hedged*,Australian Sustainable Shares^,International Sustainable Shares^
1987,,17.95%,,,,,,,,,,,,,,,
1988,,17.80%,,,,,,,,,,,,,,,
1989,,15.33%,,,,,,,,,,,,,,,
1990,,14.42%,,,,,,,,,,,,,,,
1991,,10.33%,,,,,,,,,,,,,,,
1992,,9.50%,,,,,,,,,,,,,,,
1993,,9.36%,,,,,,,,,,,,,,,
1994,,9.17%,,,,,,,,,,,,,,,
1995,,6.75%,,,,,,,,,,,,,,,
1996,,9.15%,,,,,,,,,,,,,,,
1997,18.30%,17.30%,,,,,,,,,,,,,,,
1998,9.61%,8.25%,,,,,,,,,,5.40%,,,,,
1999,11.87%,10.53%,,,,,,,,,,4.55%,,,,,
2000,14.71%,12.71%,,,,,,,8.80%,5.88%,,4.72%,,,,,
2001,4.21%,6.27%,,,,,12.57%,-12.96%,8.87%,6.34%,5.06%,5.32%,,,,,
2002,-4.78%,-1.45%,,,,,-2.46%,-19.75%,8.74%,6.30%,3.65%,4.35%,,,,,
2003,0.19%,2.91%,1.89%,,,5.84%,0.88%,-8.67%,8.62%,9.71%,3.95%,4.60%,7.81%,13.19%,,-6.16%,-20.17%
2004,16.16%,13.91%,8.12%,,,7.37%,20.77%,17.76%,9.48%,3.99%,4.31%,4.31%,2.26%,5.72%,,15.82%,12.51%
2005,14.45%,14.39%,12.00%,,,9.51%,25.60%,3.30%,10.30%,8.60%,4.56%,4.32%,7.55%,10.96%,,22.89%,-0.16%
2006,19.84%,17.52%,13.71%,,,9.01%,23.25%,20.76%,14.80%,3.33%,5.34%,5.04%,3.48%,3.88%,,18.13%,16.05%
2007,19.19%,17.80%,16.12%,,,9.09%,27.23%,11.23%,16.21%,3.74%,5.64%,5.27%,2.92%,2.87%,,22.86%,3.53%
2008,-8.36%,-5.78%,-9.89%,,,2.34%,-12.83%,-18.21%,7.43%,3.92%,5.12%,4.86%,1.56%,6.37%,,-27.25%,-20.47%
2009,-17.37%,-13.30%,-8.34%,,-10.24%,-3.01%,-16.96%,-14.76%,-15.41%,4.57%,6.00%,4.41%,7.99%,-4.55%,,0.29%,-13.58%
2010,9.74%,10.06%,11.67%,,9.71%,8.63%,13.34%,7.50%,1.85%,9.83%,4.22%,3.11%,6.55%,6.28%,,27.10%,-1.95%
2011,11.28%,10.27%,9.35%,,10.57%,8.66%,11.73%,4.49%,9.14%,7.94%,4.39%,4.76%,5.07%,5.62%,,9.84%,3.50%
2012,-0.67%,0.98%,1.89%,-1.27%,2.78%,4.86%,-4.58%,-2.18%,7.12%,12.07%,4.33%,4.87%,10.66%,10.45%,,-4.29%,0.33%
2013,17.27%,15.63%,17.02%,13.12%,13.21%,9.26%,21.66%,23.83%,5.78%,5.97%,3.19%,3.50%,4.52%,3.57%,,23.43%,28.17%
2014,16.23%,13.88%,14.93%,11.43%,11.25%,8.31%,17.43%,17.32%,7.49%,6.23%,2.56%,2.27%,5.63%,4.28%,19.83%,18.22%,19.37%
2015,12.68%,10.86%,9.49%,8.05%,8.88%,7.05%,6.34%,22.92%,9.43%,5.96%,2.45%,4.92%,4.17%,3.99%,9.94%,3.94%,20.53%
2016,3.69%,4.54%,3.24%,2.66%,4.87%,5.15%,4.16%,-0.03%,10.65%,3.76%,2.20%,2.07%,,,,,
2017,13.76%,12.44%,13.10%,8.69%,9.26%,7.20%,12.65%,15.66%,9.51%,4.76%,1.93%,1.71%,,,,,
2018,12.43%,11.08%,9.58%,9.41%,8.15%,5.99%,13.66%,14.28%,7.45%,2.18%,1.83%,,,,,,
2019,8.71%,8.67%,7.36%,8.74%,7.64%,6.67%,10.86%,10.98%,4.67%,4.90%,2.02%,,,,,,
2020,0.61%,0.52%,-2.07%,1.34%,1.35%,1.78%,-5.07%,10.64%,-6.18%,1.30%,1.05%,,,,,,
2021,24.35%,20.43%,19.37%,17.89%,14.18%,8.33%,27.65%,27.57%,4.26%,2.22%,0.15%,,,,,,
2022,-3.93%,-2.73%,-3.30%,-5.70%,-2.90%,-2.42%,-1.01%,-12.34%,,-4.46%,0.25%,,,,,,
2023,10.48%,8.22%,7.44%,11.56%,5.64%,3.44%,13.95%,17.45%,,-0.53%,2.59%,,,,,,
2024,10.20%,8.46%,8.38%,11.51%,6.47%,4.59%,12.67%,17.19%,,3.06%,4.03%,,,,,,
2025,10.61%,9.52%,10.24%,11.98%,8.58%,7.30%,13.24%,14.06%,,4.85%,4.32%,,,,,,
2026,11.58%,9.77%,8.81%,9.09%,8.16%,6.12%,10.22%,14.46%,,2.12%,3.74%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Investment returns aren’t guaranteed. Past performance isn’t a reliable indicator of future returns.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
