PriceDate,Balanced-Superannuation,Growth-Superannuation,Alternative Growth-Superannuation,Sustainable Balanced-Superannuation,Conservative Balanced-Superannuation,Capital Stable-Superannuation,Overseas Shares-Superannuation,Australian Shares-Superannuation,Property-Superannuation,Fixed Interest-Superannuation,Cash-Superannuation,Balanced-Pension,Growth-Pension,Alternative Growth-Pension,Sustainable Balanced-Pension,Conservative Balanced-Pension,Capital Stable-Pension,Long-term-Pension,Overseas Shares-Pension,Australian Shares-Pension,Property-Pension,Fixed Interest-Pension,Cash-Pension
2026-09-17,3.149517,3.617965,3.093065,3.122557,2.447613,2.109494,5.099273,3.638086,2.439336,1.462682,1.414050,3.429938,3.997415,3.339247,3.464380,2.675597,2.273034,1.610093,5.990684,4.224308,2.648950,1.552799,1.497854
2026-09-16,3.138121,3.601535,3.083621,3.110896,2.440567,2.105007,5.055162,3.623444,2.437843,1.458758,1.413884,3.416859,3.978700,3.328833,3.450726,2.667164,2.267917,1.605930,5.934850,4.205163,2.647124,1.547924,1.497650
2026-09-15,3.137598,3.601143,3.083386,3.109957,2.439803,2.104010,5.061082,3.616683,2.438559,1.456078,1.413716,3.416012,3.977942,3.328334,3.449454,2.666049,2.266664,1.605497,5.941878,4.195555,2.647996,1.544455,1.497451
2026-09-14,3.147426,3.616279,3.091611,3.117913,2.445717,2.107506,5.093110,3.638802,2.439457,1.458893,1.413549,3.427752,3.995497,3.337733,3.458917,2.673323,2.270665,1.609258,5.982449,4.224635,2.649063,1.547946,1.497249
2026-09-11,3.147490,3.616608,3.091578,3.119209,2.445471,2.107189,5.093104,3.639468,2.443480,1.458785,1.413047,3.427348,3.995325,3.337147,3.459978,2.672838,2.270124,1.608475,5.982568,4.225496,2.653983,1.547766,1.496635
2026-09-10,3.151628,3.622974,3.094598,3.122719,2.448310,2.109393,5.076384,3.674567,2.441402,1.462998,1.412881,3.433332,4.003644,3.341697,3.465067,2.676963,2.272978,1.609890,5.961403,4.271446,2.651372,1.552987,1.496431
2026-09-09,3.157662,3.631765,3.098671,3.132018,2.451873,2.112032,5.071368,3.706849,2.445925,1.468324,1.412715,3.440451,4.013696,3.346529,3.476065,2.681539,2.276024,1.611288,5.955178,4.313706,2.656910,1.559608,1.496223
2026-09-08,3.163688,3.640239,3.103660,3.139329,2.455620,2.114433,5.102675,3.707466,2.451491,1.471018,1.412548,3.447223,4.023051,3.351763,3.484247,2.685861,2.278701,1.613524,5.994818,4.314536,2.663721,1.562954,1.496015
2026-09-07,3.173338,3.656474,3.111892,3.150055,2.460954,2.116963,5.131941,3.737914,2.450516,1.470696,1.412380,3.458734,4.041918,3.361278,3.497124,2.692524,2.281521,1.616788,6.031894,4.354390,2.662530,1.562555,1.495809
2026-09-04,3.171974,3.654065,3.110244,3.149669,2.459972,2.116434,5.125239,3.737675,2.450359,1.471758,1.411880,3.457227,4.039396,3.359798,3.496869,2.691477,2.280980,1.616307,6.023340,4.354134,2.662339,1.563881,1.495191
2026-09-03,3.172978,3.656003,3.110976,3.150084,2.460351,2.116398,5.131869,3.739516,2.451689,1.471039,1.411712,3.458434,4.041675,3.360773,3.497568,2.691946,2.280915,1.616705,6.030961,4.356895,2.663911,1.562994,1.494984
2026-09-02,3.161899,3.639389,3.101503,3.139367,2.453451,2.112047,5.097361,3.717604,2.448113,1.467911,1.411545,3.445459,4.022642,3.350307,3.485020,2.683586,2.275952,1.612548,5.987253,4.328257,2.659536,1.559108,1.494780
2026-09-01,3.169429,3.651421,3.107846,3.148084,2.457835,2.114610,5.099642,3.754335,2.451269,1.469689,1.411381,3.455053,4.037303,3.358289,3.495883,2.689451,2.279080,1.615373,5.990042,4.376412,2.663395,1.561299,1.494592
2026-08-31,3.172222,3.655032,3.109577,3.152332,2.459648,2.115999,5.117314,3.752618,2.451764,1.473269,1.411213,3.457936,4.041025,3.359860,3.500554,2.691435,2.280599,1.616129,6.012479,4.374161,2.663946,1.565440,1.494355
2026-08-28,3.176503,3.662104,3.113196,3.155114,2.461738,2.116907,5.132695,3.761761,2.454810,1.473675,1.410713,3.462858,4.048850,3.363691,3.503599,2.693877,2.281491,1.617442,6.032054,4.386268,2.667714,1.565905,1.493740
2026-08-27,3.174284,3.657618,3.110506,3.153358,2.460306,2.116325,5.135249,3.742134,2.458907,1.475203,1.410547,3.459821,4.043189,3.360143,3.501281,2.691820,2.280733,1.616377,6.035098,4.360666,2.672725,1.567806,1.493535
