date	name	return
2026-08-31T00:00:00	Stable	0.6400
2026-08-31T00:00:00	Conservative	1.0100
2026-08-31T00:00:00	SRI - Balanced	0.5200
2026-08-31T00:00:00	Indexed Balanced	1.3000
2026-08-31T00:00:00	Balanced	1.2700
2026-08-31T00:00:00	Growth	1.5400
2026-08-31T00:00:00	Cash	0.4300
2026-08-31T00:00:00	Bonds	0.1100
2026-08-31T00:00:00	Australian Shares	3.6000
2026-08-31T00:00:00	International Shares	1.5800
2026-08-31T00:00:00	International Shares - Indexed	0.8600
2026-08-31T00:00:00	Bonds – Indexed	0.1900
2026-08-31T00:00:00	Australian Shares – Indexed	1.6700
2026-08-31T00:00:00	Defensive	0.4500
2026-08-31T00:00:00	Indexed Defensive	0.3800
2026-08-31T00:00:00	SRI - Defensive	0.4100
2026-08-31T00:00:00	High Growth	1.7000
2026-08-31T00:00:00	Indexed High Growth	1.4200
2026-08-31T00:00:00	SRI - High Growth	0.6300
2026-08-31T00:00:00	Indexed Growth 	1.3400
2026-08-31T00:00:00	Indexed Conservative	0.8300
2026-08-31T00:00:00	Indexed Stable	0.5800
2026-08-31T00:00:00	Stable	0.6400
2026-08-31T00:00:00	Conservative	1.0100
2026-08-31T00:00:00	SRI - Balanced	0.5200
2026-08-31T00:00:00	Indexed Balanced	1.3000
2026-08-31T00:00:00	Balanced	1.2700
2026-08-31T00:00:00	Growth	1.5400
2026-08-31T00:00:00	Cash	0.4300
2026-08-31T00:00:00	Bonds	0.1100
2026-08-31T00:00:00	Australian Shares	3.6000
2026-08-31T00:00:00	International Shares	1.5800
2026-08-31T00:00:00	International Shares - Indexed	0.8600
2026-08-31T00:00:00	Bonds – Indexed	0.1900
2026-08-31T00:00:00	Australian Shares – Indexed	1.6700
2026-08-31T00:00:00	Defensive	0.4500
2026-08-31T00:00:00	Indexed Defensive	0.3800
2026-08-31T00:00:00	SRI - Defensive	0.4100
2026-08-31T00:00:00	High Growth	1.7000
2026-08-31T00:00:00	Indexed High Growth	1.4200
2026-08-31T00:00:00	SRI - High Growth	0.6300
2026-08-31T00:00:00	Indexed Growth 	1.3400
2026-08-31T00:00:00	Indexed Conservative	0.8300
2026-08-31T00:00:00	Indexed Stable	0.5800
2026-07-31T00:00:00	Stable	-0.2300
2026-07-31T00:00:00	Conservative	-0.3200
2026-07-31T00:00:00	SRI - Balanced	-0.0700
2026-07-31T00:00:00	Indexed Balanced	0.1000
2026-07-31T00:00:00	Balanced	-0.3800
2026-07-31T00:00:00	Growth	-0.4700
2026-07-31T00:00:00	Cash	0.3700
2026-07-31T00:00:00	Bonds	-0.6600
2026-07-31T00:00:00	Australian Shares	1.0500
2026-07-31T00:00:00	International Shares	-1.8800
2026-07-31T00:00:00	International Shares - Indexed	-0.9400
2026-07-31T00:00:00	Bonds – Indexed	-0.7000
2026-07-31T00:00:00	Australian Shares – Indexed	2.1200
2026-07-31T00:00:00	Defensive	-0.0900
2026-07-31T00:00:00	Indexed Defensive	-0.0200
2026-07-31T00:00:00	SRI - Defensive	-0.0100
2026-07-31T00:00:00	High Growth	-0.6000
2026-07-31T00:00:00	Indexed High Growth	0.2000
2026-07-31T00:00:00	SRI - High Growth	-0.1100
2026-07-31T00:00:00	Indexed Growth 	0.1800
2026-07-31T00:00:00	Indexed Conservative	0.0100
2026-07-31T00:00:00	Indexed Stable	-0.0600
2026-07-31T00:00:00	Stable	-0.2300
2026-07-31T00:00:00	Conservative	-0.3200
2026-07-31T00:00:00	SRI - Balanced	-0.0700
2026-07-31T00:00:00	Indexed Balanced	0.1000
2026-07-31T00:00:00	Balanced	-0.3800
2026-07-31T00:00:00	Growth	-0.4700
2026-07-31T00:00:00	Cash	0.3700
2026-07-31T00:00:00	Bonds	-0.6600
2026-07-31T00:00:00	Australian Shares	1.0500
2026-07-31T00:00:00	International Shares	-1.8800
2026-07-31T00:00:00	International Shares - Indexed	-0.9400
2026-07-31T00:00:00	Bonds – Indexed	-0.7000
2026-07-31T00:00:00	Australian Shares – Indexed	2.1200
2026-07-31T00:00:00	Defensive	-0.0900
2026-07-31T00:00:00	Indexed Defensive	-0.0200
2026-07-31T00:00:00	SRI - Defensive	-0.0100
2026-07-31T00:00:00	High Growth	-0.6000
2026-07-31T00:00:00	Indexed High Growth	0.2000
2026-07-31T00:00:00	SRI - High Growth	-0.1100
2026-07-31T00:00:00	Indexed Growth 	0.1800
2026-07-31T00:00:00	Indexed Conservative	0.0100
2026-07-31T00:00:00	Indexed Stable	-0.0600
2026-06-30T00:00:00	Stable	1.4300
2026-06-30T00:00:00	Conservative	1.7800
2026-06-30T00:00:00	SRI - Balanced	1.0400
2026-06-30T00:00:00	Indexed Balanced	1.1600
2026-06-30T00:00:00	Balanced	2.0200
2026-06-30T00:00:00	Growth	2.2800
2026-06-30T00:00:00	Cash	0.3800
2026-06-30T00:00:00	Bonds	0.7400
2026-06-30T00:00:00	Australian Shares	0.3500
2026-06-30T00:00:00	International Shares	3.7500
2026-06-30T00:00:00	International Shares - Indexed	2.9300
2026-06-30T00:00:00	Bonds – Indexed	0.5900
