date	name	value
2026-09-19	CapitalStable	4.524
2026-09-19	Balanced	6.0888
2026-09-19	Cash	2.6554
2026-09-19	SustainableGrowth	1.5307
2026-09-19	CoreStrategy	2.8724
2026-09-19	OverseasSharesIndexed	2.5304
2026-09-19	AustralianSharesIndexed	1.9924
2026-09-19	HighGrowth	10.871
2026-09-19	BalancedIndexed	1.91
2026-09-18	CapitalStable	4.5096
2026-09-18	Balanced	6.0623
2026-09-18	Cash	2.655
2026-09-18	SustainableGrowth	1.5208
2026-09-18	CoreStrategy	2.8574
2026-09-18	OverseasSharesIndexed	2.5026
2026-09-18	AustralianSharesIndexed	1.9844
2026-09-18	HighGrowth	10.8037
2026-09-18	BalancedIndexed	1.8978
2026-09-17	CapitalStable	4.5071
2026-09-17	Balanced	6.061
2026-09-17	Cash	2.6548
2026-09-17	SustainableGrowth	1.5217
2026-09-17	CoreStrategy	2.8577
2026-09-17	OverseasSharesIndexed	2.5081
2026-09-17	AustralianSharesIndexed	1.9795
2026-09-17	HighGrowth	10.8071
2026-09-17	BalancedIndexed	1.8972
2026-09-16	CapitalStable	4.5157
2026-09-16	Balanced	6.0775
2026-09-16	Cash	2.6544
2026-09-16	SustainableGrowth	1.5275
2026-09-16	CoreStrategy	2.8677
2026-09-16	OverseasSharesIndexed	2.5203
2026-09-16	AustralianSharesIndexed	1.9945
2026-09-16	HighGrowth	10.8519
2026-09-16	BalancedIndexed	1.9063
2026-09-15	CapitalStable	4.5139
2026-09-15	Balanced	6.0763
2026-09-15	Cash	2.6535
2026-09-15	SustainableGrowth	1.5272
2026-09-15	CoreStrategy	2.8678
2026-09-15	OverseasSharesIndexed	2.5179
2026-09-15	AustralianSharesIndexed	1.9929
2026-09-15	HighGrowth	10.851
2026-09-15	BalancedIndexed	1.9067
2026-09-12	CapitalStable	4.5196
2026-09-12	Balanced	6.0826
2026-09-12	Cash	2.6533
2026-09-12	SustainableGrowth	1.5253
2026-09-12	CoreStrategy	2.8699
2026-09-12	OverseasSharesIndexed	2.5046
2026-09-12	AustralianSharesIndexed	2.0088
2026-09-12	HighGrowth	10.8604
2026-09-12	BalancedIndexed	1.9075
2026-09-11	CapitalStable	4.5259
2026-09-11	Balanced	6.0944
2026-09-11	Cash	2.6528
2026-09-11	SustainableGrowth	1.529
2026-09-11	CoreStrategy	2.8772
2026-09-11	OverseasSharesIndexed	2.4993
2026-09-11	AustralianSharesIndexed	2.0271
2026-09-11	HighGrowth	10.8891
2026-09-11	BalancedIndexed	1.9149
2026-09-10	CapitalStable	4.5319
2026-09-10	Balanced	6.106
2026-09-10	Cash	2.6526
2026-09-10	SustainableGrowth	1.5357
2026-09-10	CoreStrategy	2.8843
2026-09-10	OverseasSharesIndexed	2.5149
2026-09-10	AustralianSharesIndexed	2.0275
2026-09-10	HighGrowth	10.9191
2026-09-10	BalancedIndexed	1.9208
2026-09-09	CapitalStable	4.5386
2026-09-09	Balanced	6.1239
2026-09-09	Cash	2.6524
2026-09-09	SustainableGrowth	1.5449
2026-09-09	CoreStrategy	2.8966
2026-09-09	OverseasSharesIndexed	2.5286
2026-09-09	AustralianSharesIndexed	2.0449
2026-09-09	HighGrowth	10.9786
2026-09-09	BalancedIndexed	1.9303
2026-09-08	CapitalStable	4.539
2026-09-08	Balanced	6.1235
2026-09-08	Cash	2.6515
2026-09-08	SustainableGrowth	1.5463
2026-09-08	CoreStrategy	2.896
2026-09-08	OverseasSharesIndexed	2.5302
2026-09-08	AustralianSharesIndexed	2.0438
2026-09-08	HighGrowth	10.9753
2026-09-08	BalancedIndexed	1.9304
2026-09-05	CapitalStable	4.5399
2026-09-05	Balanced	6.1269
2026-09-05	Cash	2.6511
2026-09-05	SustainableGrowth	1.5472
2026-09-05	CoreStrategy	2.8986
2026-09-05	OverseasSharesIndexed	2.5393
2026-09-05	AustralianSharesIndexed	2.0457
2026-09-05	HighGrowth	10.9886
2026-09-05	BalancedIndexed	1.9331
2026-09-04	CapitalStable	4.5292
2026-09-04	Balanced	6.1052
2026-09-04	Cash	2.6506
2026-09-04	SustainableGrowth	1.5383
2026-09-04	CoreStrategy	2.8851
2026-09-04	OverseasSharesIndexed	2.5202
2026-09-04	AustralianSharesIndexed	2.0314
2026-09-04	HighGrowth	10.9283
2026-09-04	BalancedIndexed	1.921
2026-09-03	CapitalStable	4.5357
2026-09-03	Balanced	6.1172
2026-09-03	Cash	2.6504
2026-09-03	SustainableGrowth	1.5409
2026-09-03	CoreStrategy	2.8921
2026-09-03	OverseasSharesIndexed	2.5195
2026-09-03	AustralianSharesIndexed	2.0483
2026-09-03	HighGrowth	10.9612
2026-09-03	BalancedIndexed	1.9257
2026-09-02	CapitalStable	4.5406
2026-09-02	Balanced	6.1243
2026-09-02	Cash	2.6502
2026-09-02	SustainableGrowth	1.546
2026-09-02	CoreStrategy	2.8958
2026-09-02	OverseasSharesIndexed	2.5319
2026-09-02	AustralianSharesIndexed	2.0479
2026-09-02	HighGrowth	10.9743
2026-09-02	BalancedIndexed	1.9313
2026-09-01	CapitalStable	4.5413
2026-09-01	Balanced	6.1279
2026-09-01	Cash	2.6493
2026-09-01	SustainableGrowth	1.5467
2026-09-01	CoreStrategy	2.8988
2026-09-01	OverseasSharesIndexed	2.5344
2026-09-01	AustralianSharesIndexed	2.0512
2026-09-01	HighGrowth	10.9876
2026-09-01	BalancedIndexed	1.9341
2026-08-29	CapitalStable	4.5412
2026-08-29	Balanced	6.1249
2026-08-29	Cash	2.6489
2026-08-29	SustainableGrowth	1.5462
2026-08-29	CoreStrategy	2.896
2026-08-29	OverseasSharesIndexed	2.5357
2026-08-29	AustralianSharesIndexed	2.0405
2026-08-29	HighGrowth	10.9719
2026-08-29	BalancedIndexed	1.932
2026-08-28	CapitalStable	4.5469
2026-08-28	Balanced	6.1351
2026-08-28	Cash	2.6486
2026-08-28	SustainableGrowth	1.5477
2026-08-28	CoreStrategy	2.902
2026-08-28	OverseasSharesIndexed	2.534
2026-08-28	AustralianSharesIndexed	2.0587
2026-08-28	HighGrowth	11.0021
2026-08-28	BalancedIndexed	1.9359
2026-08-27	CapitalStable	4.5495
2026-08-27	Balanced	6.1403
2026-08-27	Cash	2.6482
2026-08-27	SustainableGrowth	1.5479
2026-08-27	CoreStrategy	2.9052
2026-08-27	OverseasSharesIndexed	2.5383
2026-08-27	AustralianSharesIndexed	2.0649
2026-08-27	HighGrowth	11.0174
2026-08-27	BalancedIndexed	1.9389
2026-08-26	CapitalStable	4.5429
2026-08-26	Balanced	6.1265
2026-08-26	Cash	2.648
2026-08-26	SustainableGrowth	1.5426
2026-08-26	CoreStrategy	2.8964
2026-08-26	OverseasSharesIndexed	2.5312
2026-08-26	AustralianSharesIndexed	2.0522
2026-08-26	HighGrowth	10.9782
2026-08-26	BalancedIndexed	1.932
2026-08-25	CapitalStable	4.5395
2026-08-25	Balanced	6.1219
2026-08-25	Cash	2.6471
2026-08-25	SustainableGrowth	1.5422
2026-08-25	CoreStrategy	2.8941
2026-08-25	OverseasSharesIndexed	2.5334
2026-08-25	AustralianSharesIndexed	2.0422
2026-08-25	HighGrowth	10.9681
2026-08-25	BalancedIndexed	1.9298
2026-08-22	CapitalStable	4.5416
2026-08-22	Balanced	6.1228
2026-08-22	Cash	2.6467
2026-08-22	SustainableGrowth	1.5406
2026-08-22	CoreStrategy	2.8939
