date	name	value
2004-01-01	Conservative	10000.0
2004-01-02	Conservative	9984.9868
2004-01-03	Conservative	9984.9868
2004-01-04	Conservative	9984.9868
2004-01-05	Conservative	9957.1838
2004-01-06	Conservative	9963.4225
2004-01-07	Conservative	9968.7516
2004-01-08	Conservative	9965.7195
2004-01-09	Conservative	9969.7163
2004-01-10	Conservative	9969.7163
2004-01-11	Conservative	9969.7163
2004-01-12	Conservative	10022.9425
2004-01-13	Conservative	10019.5245
2004-01-14	Conservative	10044.0657
2004-01-15	Conservative	10039.4074
2004-01-16	Conservative	10037.5147
2004-01-17	Conservative	10037.5147
2004-01-18	Conservative	10037.5147
2004-01-19	Conservative	10032.0478
2004-01-20	Conservative	10025.2211
2004-01-21	Conservative	10031.8365
2004-01-22	Conservative	10045.0121
2004-01-23	Conservative	10061.5873
2004-01-24	Conservative	10061.5873
2004-01-25	Conservative	10061.5873
2004-01-26	Conservative	10061.5873
2004-01-27	Conservative	10024.5963
2004-01-28	Conservative	10029.0709
2004-01-29	Conservative	9994.8088
2004-01-30	Conservative	9995.9756
2004-01-31	Conservative	9995.9756
2004-02-01	Conservative	9995.9756
2004-02-02	Conservative	10027.0403
2004-02-03	Conservative	10028.5747
2004-02-04	Conservative	10042.2189
2004-02-05	Conservative	10040.4273
2004-02-06	Conservative	10044.0565
2004-02-07	Conservative	10044.0565
2004-02-08	Conservative	10044.0565
2004-02-09	Conservative	10062.7082
2004-02-10	Conservative	10058.8401
2004-02-11	Conservative	10055.3394
2004-02-12	Conservative	10086.9738
2004-02-13	Conservative	10079.0629
2004-02-14	Conservative	10079.0629
2004-02-15	Conservative	10079.0629
2004-02-16	Conservative	10091.7424
2004-02-17	Conservative	10084.1255
2004-02-18	Conservative	10105.8184
2004-02-19	Conservative	10101.6654
2004-02-20	Conservative	10104.4586
2004-02-21	Conservative	10104.4586
2004-02-22	Conservative	10104.4586
2004-02-23	Conservative	10077.7582
2004-02-24	Conservative	10074.7629
2004-02-25	Conservative	10087.5526
2004-02-26	Conservative	10102.9609
2004-02-27	Conservative	10114.4184
2004-02-28	Conservative	10114.4184
2004-02-29	Conservative	10114.4184
2004-03-01	Conservative	10158.7138
