date	value
2008-06-30	10000.0
2008-07-01	9997.63
2008-07-02	9985.24
2008-07-03	9996.95
2008-07-04	10012.72
2008-07-05	10012.72
2008-07-06	10012.72
2008-07-07	10032.34
2008-07-08	10037.12
2008-07-09	10044.31
2008-07-10	10054.68
2008-07-11	10046.83
2008-07-12	10046.83
2008-07-13	10046.83
2008-07-14	10042.95
2008-07-15	10064.19
2008-07-16	10068.22
2008-07-17	10069.42
2008-07-18	10057.76
2008-07-19	10057.76
2008-07-20	10057.76
2008-07-21	10052.22
2008-07-22	10041.81
2008-07-23	10055.79
2008-07-24	10083.21
2008-07-25	10109.68
2008-07-26	10109.68
2008-07-27	10109.68
2008-07-28	10114.23
2008-07-29	10107.04
2008-07-30	10126.71
2008-07-31	10148.24
2008-08-01	10187.16
2008-08-02	10187.16
2008-08-03	10187.16
2008-08-04	10212.79
2008-08-05	10242.72
2008-08-06	10240.03
2008-08-07	10251.17
2008-08-08	10268.31
2008-08-09	10268.31
2008-08-10	10268.31
2008-08-11	10272.55
2008-08-12	10288.28
2008-08-13	10298.76
2008-08-14	10296.71
2008-08-15	10310.33
2008-08-16	10310.33
2008-08-17	10310.33
2008-08-18	10314.06
2008-08-19	10310.62
2008-08-20	10299.06
2008-08-21	10330.45
2008-08-22	10316.39
2008-08-23	10316.39
2008-08-24	10316.39
2008-08-25	10328.05
2008-08-26	10340.94
2008-08-27	10349.77
2008-08-28	10330.48
2008-08-29	10334.84
2008-08-30	10334.84
2008-08-31	10334.84
2008-09-01	10350.2
2008-09-02	10356.91
2008-09-03	10368.44
2008-09-04	10357.68
2008-09-05	10394.52
2008-09-06	10394.52
2008-09-07	10394.52
2008-09-08	10369.42
2008-09-09	10404.52
2008-09-10	10403.49
2008-09-11	10400.84
2008-09-12	10389.92
2008-09-13	10389.92
2008-09-14	10389.92
2008-09-15	10432.78
2008-09-16	10438.6
2008-09-17	10387.87
2008-09-18	10380.87
2008-09-19	10388.05
2008-09-20	10388.05
2008-09-21	10388.05
2008-09-22	10375.02
2008-09-23	10389.02
2008-09-24	10401.28
2008-09-25	10405.2
2008-09-26	10438.53
2008-09-27	10438.53
2008-09-28	10438.53
2008-09-29	10428.71
2008-09-30	10525.73
2008-10-01	10484.3
2008-10-02	10503.67
2008-10-03	10520.24
2008-10-04	10520.24
2008-10-05	10520.24
2008-10-06	10618.77
2008-10-07	10711.91
2008-10-08	10747.35
2008-10-09	10717.4
2008-10-10	10732.03
2008-10-11	10732.03
2008-10-12	10732.03
2008-10-13	10627.32
2008-10-14	10625.28
2008-10-15	10676.61
2008-10-16	10723.73
2008-10-17	10701.5
2008-10-18	10701.5
2008-10-19	10701.5
2008-10-20	10675.2
2008-10-21	10691.96
2008-10-22	10736.56
2008-10-23	10752.76
2008-10-24	10787.16
