date	value
2012-04-20	10000.0
2012-04-21	10000.0
2012-04-22	10000.0
2012-04-23	10002.67
2012-04-24	10079.96
2012-04-25	10079.91
2012-04-26	10131.25
2012-04-27	10101.89
2012-04-28	10101.89
2012-04-29	10101.89
2012-04-30	10163.97
2012-05-01	10222.04
2012-05-02	10186.13
2012-05-03	10200.82
2012-05-04	10196.32
2012-05-05	10196.32
2012-05-06	10196.32
2012-05-07	10096.75
2012-05-08	10141.36
2012-05-09	10129.9
2012-05-10	10132.63
2012-05-11	10118.23
2012-05-12	10118.23
2012-05-13	10118.23
2012-05-14	10186.51
2012-05-15	10182.18
2012-05-16	10064.42
2012-05-17	10032.21
2012-05-18	9823.12
2012-05-19	9823.12
2012-05-20	9823.12
2012-05-21	9875.87
2012-05-22	9942.13
2012-05-23	9861.65
2012-05-24	9834.19
2012-05-25	9775.0
2012-05-26	9775.0
2012-05-27	9775.0
2012-05-28	9805.11
2012-05-29	9867.33
2012-05-30	9862.06
2012-05-31	9856.79
2012-06-01	9900.77
2012-06-02	9900.77
2012-06-03	9900.77
2012-06-04	9794.39
2012-06-05	9885.58
2012-06-06	9900.35
2012-06-07	10025.14
2012-06-08	9908.01
2012-06-09	9908.01
2012-06-10	9908.01
2012-06-11	9907.86
2012-06-12	9953.94
2012-06-13	9911.81
2012-06-14	9885.71
2012-06-15	9888.62
2012-06-16	9888.62
2012-06-17	9888.62
2012-06-18	10022.57
2012-06-19	10001.31
2012-06-20	10003.16
2012-06-21	9970.0
2012-06-22	9942.96
2012-06-23	9942.96
2012-06-24	9942.96
2012-06-25	9898.98
2012-06-26	9954.9
2012-06-27	10078.98
2012-06-28	10070.62
2012-06-29	10155.54
2012-06-30	10151.0
2012-07-01	10151.0
2012-07-02	10222.4
2012-07-03	10199.36
2012-07-04	10249.07
2012-07-05	10244.47
2012-07-06	10254.56
2012-07-07	10254.56
2012-07-08	10254.56
2012-07-09	10235.23
2012-07-10	10228.96
2012-07-11	10263.09
