date	value
2014-08-31	10000.0
2014-09-01	10001.78
2014-09-02	10001.38
2014-09-03	9980.24
2014-09-04	10012.37
2014-09-05	10009.1
2014-09-06	10009.1
2014-09-07	10009.1
2014-09-08	10010.57
2014-09-09	10013.42
2014-09-10	10011.53
2014-09-11	10005.53
2014-09-12	9998.07
2014-09-13	9998.07
2014-09-14	9998.07
2014-09-15	9994.07
2014-09-16	9999.36
2014-09-17	9999.07
2014-09-18	9998.23
2014-09-19	10013.27
2014-09-20	10013.27
2014-09-21	10013.27
2014-09-22	10018.44
2014-09-23	10015.79
2014-09-24	10015.09
2014-09-25	10011.59
2014-09-26	10007.34
2014-09-27	10007.34
2014-09-28	10007.34
2014-09-29	10009.58
2014-09-30	10010.21
2014-10-01	10009.95
2014-10-02	10006.81
2014-10-03	10003.97
2014-10-04	10003.97
2014-10-05	10003.97
2014-10-06	10015.05
2014-10-07	10014.99
2014-10-08	10014.82
2014-10-09	10005.87
2014-10-10	10006.41
2014-10-11	10006.41
2014-10-12	10006.41
2014-10-13	10009.44
2014-10-14	9990.1
2014-10-15	10001.4
2014-10-16	9974.85
2014-10-17	9975.83
2014-10-18	9975.83
2014-10-19	9975.83
2014-10-20	9988.68
2014-10-21	9984.53
2014-10-22	9983.42
2014-10-23	9993.93
2014-10-24	9991.62
2014-10-25	9991.62
2014-10-26	9991.62
2014-10-27	9994.88
2014-10-28	9994.41
2014-10-29	9989.99
2014-10-30	10003.23
2014-10-31	9999.73
2014-11-01	9999.73
2014-11-02	9999.73
2014-11-03	10003.98
2014-11-04	10004.68
2014-11-05	10006.1
2014-11-06	9999.9
2014-11-07	9998.03
2014-11-08	9998.03
2014-11-09	9998.03
2014-11-10	10001.33
2014-11-11	9999.52
2014-11-12	10005.56
2014-11-13	9992.9
2014-11-14	9992.6
2014-11-15	9992.6
2014-11-16	9992.6
2014-11-17	9988.57
2014-11-18	9987.94
2014-11-19	9982.15
2014-11-20	9975.02
2014-11-21	9978.48
2014-11-22	9978.48
2014-11-23	9978.48
2014-11-24	9988.54
2014-11-25	9990.52
2014-11-26	9997.11
2014-11-27	9996.02
2014-11-28	9996.22
2014-11-29	9996.22
2014-11-30	9996.22
2014-12-01	10020.7
2014-12-02	10019.53
2014-12-03	9993.89
2014-12-04	9990.4
2014-12-05	10004.64
2014-12-06	10004.64
2014-12-07	10004.64
2014-12-08	10005.77
2014-12-09	9996.26
2014-12-10	10004.77
2014-12-11	10018.38
2014-12-12	10013.09
2014-12-13	10013.09
2014-12-14	10013.09
2014-12-15	10035.51
2014-12-16	10019.71
2014-12-17	10027.47
2014-12-18	10005.15
2014-12-19	9997.71
2014-12-20	9997.71
2014-12-21	9997.71
2014-12-22	10012.54
2014-12-23	10017.62
2014-12-24	9993.75
2014-12-25	9994.34
2014-12-26	9994.93
2014-12-27	9994.93
2014-12-28	9994.93
2014-12-29	9996.67
2014-12-30	9997.46
2014-12-31	9998.09
2015-01-01	9998.68
2015-01-02	10014.06
2015-01-03	10014.06
2015-01-04	10014.06
2015-01-05	10023.38
2015-01-06	10023.48
2015-01-07	10025.73
2015-01-08	10014.32
2015-01-09	10016.72
2015-01-10	10016.72
2015-01-11	10016.72
2015-01-12	10021.12
2015-01-13	10015.83
2015-01-14	10006.9
2015-01-15	10000.69
2015-01-16	10018.38
2015-01-17	10018.38
2015-01-18	10018.38
2015-01-19	10004.75
2015-01-20	10004.13
2015-01-21	10016.16
2015-01-22	10012.8
2015-01-23	10027.93
2015-01-24	10027.93
2015-01-25	10027.93
2015-01-26	10029.67
2015-01-27	10037.41
2015-01-28	10036.12
2015-01-29	10036.92
2015-01-30	10041.64
2015-01-31	10041.64
2015-02-01	10041.64
2015-02-02	10051.71
2015-02-03	10046.03
2015-02-04	10051.25
2015-02-05	10063.54
2015-02-06	10056.81
2015-02-07	10056.81
2015-02-08	10056.81
2015-02-09	10065.29
2015-02-10	10068.79
2015-02-11	10076.36
2015-02-12	10072.01
2015-02-13	10080.96
2015-02-14	10080.96
2015-02-15	10080.96
2015-02-16	10075.98
2015-02-17	10076.25
2015-02-18	10089.2
2015-02-19	10085.09
2015-02-20	10094.46
2015-02-21	10094.46
2015-02-22	10094.46
2015-02-23	10105.16
2015-02-24	10101.18
2015-02-25	10101.59
2015-02-26	10104.82
