date	value
2008-06-30	10000.0
2008-07-01	9869.07
2008-07-02	9792.92
2008-07-03	9621.17
2008-07-04	9763.86
2008-07-05	9763.86
2008-07-06	9763.86
2008-07-07	9626.51
2008-07-08	9503.15
2008-07-09	9636.94
2008-07-10	9506.91
2008-07-11	9581.71
2008-07-12	9581.71
2008-07-13	9581.71
2008-07-14	9479.63
2008-07-15	9298.57
2008-07-16	9389.39
2008-07-17	9441.87
2008-07-18	9334.37
2008-07-19	9334.37
2008-07-20	9334.37
2008-07-21	9629.19
2008-07-22	9621.5
2008-07-23	9793.68
2008-07-24	9858.96
2008-07-25	9561.15
2008-07-26	9561.15
2008-07-27	9561.15
2008-07-28	9626.29
2008-07-29	9495.05
2008-07-30	9653.11
2008-07-31	9724.88
2008-08-01	9595.83
2008-08-02	9595.83
2008-08-03	9595.83
2008-08-04	9551.93
2008-08-05	9429.68
2008-08-06	9689.08
2008-08-07	9711.82
2008-08-08	9718.07
2008-08-09	9718.07
2008-08-10	9718.07
2008-08-11	9785.63
2008-08-12	9833.39
2008-08-13	9654.15
2008-08-14	9707.76
2008-08-15	9709.86
2008-08-16	9709.86
2008-08-17	9709.86
2008-08-18	9709.12
2008-08-19	9501.66
2008-08-20	9613.08
2008-08-21	9520.58
2008-08-22	9621.01
2008-08-23	9621.01
2008-08-24	9621.01
2008-08-25	9782.18
2008-08-26	9783.75
2008-08-27	9793.97
2008-08-28	9898.88
2008-08-29	10028.62
2008-08-30	10028.62
2008-08-31	10028.62
2008-09-01	9989.57
2008-09-02	9990.16
2008-09-03	9892.94
2008-09-04	9751.09
2008-09-05	9570.92
2008-09-06	9570.92
2008-09-07	9570.92
2008-09-08	10026.12
2008-09-09	9870.96
2008-09-10	9736.89
2008-09-11	9571.86
2008-09-12	9731.88
2008-09-13	9731.88
2008-09-14	9731.88
2008-09-15	9558.91
2008-09-16	9436.33
2008-09-17	9386.73
2008-09-18	9179.87
2008-09-19	9533.92
2008-09-20	9533.92
2008-09-21	9533.92
2008-09-22	9863.08
2008-09-23	9693.29
2008-09-24	9797.9
2008-09-25	9702.34
2008-09-26	9663.59
2008-09-27	9663.59
2008-09-28	9663.59
2008-09-29	9486.86
2008-09-30	9142.27
2008-10-01	9460.28
2008-10-02	9400.89
2008-10-03	9284.9
2008-10-04	9284.9
2008-10-05	9284.9
2008-10-06	9011.53
2008-10-07	9144.42
2008-10-08	8728.35
2008-10-09	8603.46
2008-10-10	7952.86
2008-10-11	7952.86
2008-10-12	7952.86
2008-10-13	8591.04
2008-10-14	8882.57
2008-10-15	8817.17
2008-10-16	8283.85
2008-10-17	8202.48
2008-10-18	8202.48
2008-10-19	8202.48
2008-10-20	8418.68
2008-10-21	8711.86
2008-10-22	8344.38
2008-10-23	8013.42
2008-10-24	7822.37
2008-10-25	7822.37
2008-10-26	7822.37
2008-10-27	7708.32
2008-10-28	7909.63
2008-10-29	8009.28
2008-10-30	8301.9
2008-10-31	8339.84
2008-11-01	8339.84
2008-11-02	8339.84
2008-11-03	8557.59
2008-11-04	8546.71
2008-11-05	8782.32
2008-11-06	8453.31
2008-11-07	8287.18
2008-11-08	8287.18
2008-11-09	8287.18
2008-11-10	8407.07
2008-11-11	8135.29
2008-11-12	8073.08
2008-11-13	7647.67
2008-11-14	7744.28
2008-11-15	7744.28
2008-11-16	7744.28
2008-11-17	7549.84
2008-11-18	7308.81
2008-11-19	7263.06
2008-11-20	6984.91
2008-11-21	7101.59
2008-11-22	7101.59
2008-11-23	7101.59
2008-11-24	7143.78
2008-11-25	7514.85
2008-11-26	7359.47
2008-11-27	7450.63
2008-11-28	7738.64
