date	value
2004-01-01	10000.0
2004-01-02	9991.3554
2004-01-03	9991.3554
2004-01-04	9991.3554
2004-01-05	9970.2775
2004-01-06	10002.9972
2004-01-07	9991.4799
2004-01-08	9989.0342
2004-01-09	9992.8762
2004-01-10	9992.8762
2004-01-11	9992.8762
2004-01-12	10023.8082
2004-01-13	10014.7723
2004-01-14	10048.6214
2004-01-15	10039.8523
2004-01-16	10036.8641
2004-01-17	10036.8641
2004-01-18	10036.8641
2004-01-19	10063.287
2004-01-20	10057.2483
2004-01-21	10059.4983
2004-01-22	10084.7118
2004-01-23	10102.2589
2004-01-24	10102.2589
2004-01-25	10102.2589
2004-01-26	10102.2589
2004-01-27	10065.964
2004-01-28	10042.7161
2004-01-29	10002.3123
2004-01-30	10007.1683
2004-01-31	10007.1683
2004-02-01	10007.1683
2004-02-02	10049.2707
2004-02-03	10036.3838
2004-02-04	10042.3425
2004-02-05	10036.5884
2004-02-06	10053.1839
2004-02-07	10053.1839
2004-02-08	10053.1839
2004-02-09	10075.8448
2004-02-10	10057.266
2004-02-11	10063.1181
2004-02-12	10107.3994
2004-02-13	10101.1828
2004-02-14	10101.1828
2004-02-15	10101.1828
2004-02-16	10107.5862
2004-02-17	10115.875
2004-02-18	10151.663
2004-02-19	10150.9337
2004-02-20	10154.4734
2004-02-21	10154.4734
2004-02-22	10154.4734
2004-02-23	10133.2265
2004-02-24	10111.0013
2004-02-25	10128.922
2004-02-26	10147.5986
2004-02-27	10165.2791
2004-02-28	10165.2791
2004-02-29	10165.2791
2004-03-01	10228.9575
2004-03-02	10248.1143
2004-03-03	10241.7376
2004-03-04	10258.6266
2004-03-05	10300.2488
2004-03-06	10300.2488
2004-03-07	10300.2488
2004-03-08	10256.0119
2004-03-09	10292.2267
2004-03-10	10286.8905
2004-03-11	10271.8069
2004-03-12	10276.2893
2004-03-13	10276.2893
2004-03-14	10276.2893
2004-03-15	10295.8909
2004-03-16	10312.1929
2004-03-17	10348.9502
2004-03-18	10333.9645
2004-03-19	10318.2228
2004-03-20	10318.2228
2004-03-21	10318.2228
2004-03-22	10286.9795
2004-03-23	10267.4669
2004-03-24	10272.2605
2004-03-25	10310.5831
