date	value
2004-01-01	10000.0
2004-01-02	10001.3085
2004-01-03	10002.6265
2004-01-04	10003.935
2004-01-05	10007.4339
2004-01-06	10008.7234
2004-01-07	10010.013
2004-01-08	10011.3025
2004-01-09	10012.5921
2004-01-10	10013.8911
2004-01-11	10015.1807
2004-01-12	10017.7977
2004-01-13	10019.0967
2004-01-14	10020.3863
2004-01-15	10021.6758
2004-01-16	10022.9654
2004-01-17	10024.2644
2004-01-18	10025.554
2004-01-19	10026.341
2004-01-20	10027.6305
2004-01-21	10028.9201
2004-01-22	10030.2191
2004-01-23	10031.5087
2004-01-24	10032.7982
2004-01-25	10034.0972
2004-01-26	10035.3868
2004-01-27	10037.122
2004-01-28	10038.4115
2004-01-29	10039.7106
2004-01-30	10041.0001
2004-01-31	10042.2897
2004-02-01	10043.5887
2004-02-02	10044.3662
2004-02-03	10045.6653
2004-02-04	10046.9643
2004-02-05	10048.2728
2004-02-06	10049.5718
2004-02-07	10050.8709
2004-02-08	10052.1794
2004-02-09	10053.8672
2004-02-10	10055.1757
2004-02-11	10056.4747
2004-02-12	10057.7832
2004-02-13	10059.0823
2004-02-14	10060.3908
2004-02-15	10061.6898
2004-02-16	10063.3587
2004-02-17	10064.6577
2004-02-18	10065.9662
2004-02-19	10067.2652
2004-02-20	10068.5737
2004-02-21	10069.8823
2004-02-22	10071.1813
2004-02-23	10073.7888
2004-02-24	10075.0974
2004-02-25	10076.4059
2004-02-26	10077.7049
2004-02-27	10079.0134
2004-02-28	10080.3219
2004-02-29	10081.6304
2004-03-01	10082.3226
2004-03-02	10083.6311
2004-03-03	10084.9397
2004-03-04	10086.2577
2004-03-05	10087.5662
2004-03-06	10088.8747
2004-03-07	10090.1832
2004-03-08	10091.4917
2004-03-09	10093.7105
2004-03-10	10095.019
2004-03-11	10096.3275
2004-03-12	10097.636
2004-03-13	10098.954
2004-03-14	10100.2626
2004-03-15	10103.202
2004-03-16	10104.5105
2004-03-17	10105.819
2004-03-18	10107.137
2004-03-19	10108.4455
2004-03-20	10109.7635
2004-03-21	10111.072
2004-03-22	10111.3565
2004-03-23	10112.665
2004-03-24	10113.983
2004-03-25	10115.2915
2004-03-26	10116.6095
2004-03-27	10117.918
2004-03-28	10119.236
2004-03-29	10119.8903
2004-03-30	10120.9048
2004-03-31	10121.0755
2004-04-01	10123.2279
2004-04-02	10124.5364
2004-04-03	10125.845
2004-04-04	10127.1535
2004-04-05	10128.4335
2004-04-06	10129.7421
2004-04-07	10131.0506
2004-04-08	10132.3591
2004-04-09	10133.6771
2004-04-10	10134.9856
2004-04-11	10136.2941
2004-04-12	10137.6026
2004-04-13	10137.925
2004-04-14	10139.2335
2004-04-15	10140.542
2004-04-16	10141.8506
2004-04-17	10143.1686
2004-04-18	10144.4771
2004-04-19	10148.3552
2004-04-20	10149.6637
2004-04-21	10150.9817
2004-04-22	10152.2902
2004-04-23	10153.6082
2004-04-24	10154.9167
2004-04-25	10156.2347
2004-04-26	10158.7949
2004-04-27	10160.1034
2004-04-28	10161.4214
2004-04-29	10162.7299
2004-04-30	10164.0479
2004-05-01	10165.3754
2004-05-02	10166.6934
2004-05-03	10167.3287
2004-05-04	10168.6561
2004-05-05	10169.9741
2004-05-06	10171.3016
2004-05-07	10172.6291
2004-05-08	10173.9471
2004-05-09	10175.2746
2004-05-10	10177.7683
2004-05-11	10179.0958
2004-05-12	10180.4138
2004-05-13	10181.7413
2004-05-14	10183.0688
2004-05-15	10184.3962
2004-05-16	10185.7237
2004-05-17	10189.1467
2004-05-18	10190.4742
2004-05-19	10191.8017
2004-05-20	10193.1292
2004-05-21	10194.4566
2004-05-22	10195.7841
2004-05-23	10197.1116
2004-05-24	10198.6382
2004-05-25	10199.9657
2004-05-26	10201.2932
2004-05-27	10202.6206
2004-05-28	10203.9481
2004-05-29	10205.2756
2004-05-30	10206.6125
2004-05-31	10207.172
2004-06-01	10208.4995
2004-06-02	10209.8175
2004-06-03	10211.1449
2004-06-04	10212.4629
2004-06-05	10213.7904
2004-06-06	10215.1084
2004-06-07	10216.0661
2004-06-08	10217.3936
2004-06-09	10218.7116
2004-06-10	10220.039
2004-06-11	10221.357
2004-06-12	10222.6845
2004-06-13	10224.012
2004-06-14	10225.33
2004-06-15	10225.9274
2004-06-16	10227.2548
2004-06-17	10228.5823
2004-06-18	10229.9003
2004-06-19	10231.2278
2004-06-20	10232.5553
2004-06-21	10232.8113
2004-06-22	10234.1388
2004-06-23	10235.4568
2004-06-24	10236.7842
2004-06-25	10238.1117
2004-06-26	10239.4392
2004-06-27	10240.7572
2004-06-28	10243.2415
2004-06-29	10244.569
2004-06-30	10245.2896
2004-07-01	10247.2239
2004-07-02	10248.5514
2004-07-03	10249.8789
2004-07-04	10251.2063
2004-07-05	10253.6811
2004-07-06	10255.0086
2004-07-07	10256.3361
2004-07-08	10257.6636
2004-07-09	10258.9911
2004-07-10	10260.3185
2004-07-11	10261.6555
2004-07-12	10262.983
2004-07-13	10264.3105
2004-07-14	10265.6379
2004-07-15	10266.9749
2004-07-16	10268.3024
2004-07-17	10269.6299
2004-07-18	10270.9573
2004-07-19	10272.6546
2004-07-20	10273.9726
2004-07-21	10275.3096
2004-07-22	10276.637
2004-07-23	10277.974
2004-07-24	10279.3015
2004-07-25	10280.6384
2004-07-26	10281.5203
2004-07-27	10282.8572
2004-07-28	10284.1847
2004-07-29	10285.5217
2004-07-30	10286.8491
2004-07-31	10288.1861
2004-08-01	10289.5136
2004-08-02	10291.0117
2004-08-03	10292.3392
2004-08-04	10293.6762
2004-08-05	10295.0131
2004-08-06	10296.3406
2004-08-07	10297.6776
2004-08-08	10299.0145
2004-08-09	10300.4937
2004-08-10	10301.8402
2004-08-11	10303.1771
2004-08-12	10304.5236
2004-08-13	10305.87
2004-08-14	10307.207
2004-08-15	10308.5534
2004-08-16	10310.9334
2004-08-17	10312.2704
2004-08-18	10313.6168
2004-08-19	10314.9632
2004-08-20	10316.3097
2004-08-21	10317.6561
2004-08-22	10318.9931
2004-08-23	10320.4154
2004-08-24	10321.7618
2004-08-25	10323.1083
2004-08-26	10324.4547
2004-08-27	10325.8012
2004-08-28	10327.1476
2004-08-29	10328.494
2004-08-30	10330.8456
2004-08-31	10332.192
2004-09-01	10333.5479
2004-09-02	10334.8944
2004-09-03	10336.2408
2004-09-04	10337.5873
2004-09-05	10338.9337
2004-09-06	10340.337
2004-09-07	10341.6835
2004-09-08	10343.0299
2004-09-09	10344.3859
2004-09-10	10345.7323
2004-09-11	10347.0787
2004-09-12	10348.4347
2004-09-13	10349.7811
2004-09-14	10354.0196
2004-09-15	10355.366
2004-09-16	10356.7219
2004-09-17	10358.0684
2004-09-18	10359.4243
2004-09-19	10360.7707
2004-09-20	10360.8561
2004-09-21	10362.212
2004-09-22	10363.5679
2004-09-23	10364.9144
2004-09-24	10366.2703
2004-09-25	10367.6167
2004-09-26	10368.9727
2004-09-27	10367.8443
2004-09-28	10369.2002
2004-09-29	10370.5467
2004-09-30	10364.7627
2004-10-01	10373.249
2004-10-02	10374.5955
2004-10-03	10375.9514
2004-10-04	10376.3496
2004-10-05	10377.6961
2004-10-06	10379.052
2004-10-07	10380.3985
2004-10-08	10381.7449
2004-10-09	10383.1008
2004-10-10	10384.4473
2004-10-11	10385.8696
2004-10-12	10387.216
2004-10-13	10388.5719
2004-10-14	10389.9184
2004-10-15	10391.2648
2004-10-16	10392.6207
2004-10-17	10393.9767
2004-10-18	10394.4792
2004-10-19	10395.8351
2004-10-20	10397.1816
2004-10-21	10398.5375
