date	value
2004-01-01	10000.0
2004-01-02	9989.3259
2004-01-03	9989.3259
2004-01-04	9989.3259
2004-01-05	9965.1044
2004-01-06	9987.5605
2004-01-07	9982.4261
2004-01-08	9980.1562
2004-01-09	9983.9664
2004-01-10	9983.9664
2004-01-11	9983.9664
2004-01-12	10012.1153
2004-01-13	10005.4046
2004-01-14	10035.5712
2004-01-15	10028.4191
2004-01-16	10026.9328
2004-01-17	10026.9328
2004-01-18	10026.9328
2004-01-19	10037.8951
2004-01-20	10031.2835
2004-01-21	10035.1568
2004-01-22	10055.442
2004-01-23	10072.3764
2004-01-24	10072.3764
2004-01-25	10072.3764
2004-01-26	10072.3764
2004-01-27	10037.2646
2004-01-28	10025.0502
2004-01-29	9987.3983
2004-01-30	9990.7311
2004-01-31	9990.7311
2004-02-01	9990.7311
2004-02-02	10029.5811
2004-02-03	10022.0237
2004-02-04	10030.5899
2004-02-05	10026.4374
2004-02-06	10038.3365
2004-02-07	10038.3365
2004-02-08	10038.3365
2004-02-09	10057.9912
2004-02-10	10045.3264
2004-02-11	10047.3622
2004-02-12	10086.3022
2004-02-13	10079.1231
2004-02-14	10079.1231
2004-02-15	10079.1231
2004-02-16	10089.4098
2004-02-17	10092.013
2004-02-18	10122.2517
2004-02-19	10120.306
2004-02-20	10124.1252
2004-02-21	10124.1252
2004-02-22	10124.1252
2004-02-23	10099.8226
2004-02-24	10084.5006
2004-02-25	10100.6333
2004-02-26	10117.6127
2004-02-27	10132.6375
2004-02-28	10132.6375
2004-02-29	10132.6375
2004-03-01	10190.4845
2004-03-02	10204.9958
2004-03-03	10196.3034
2004-03-04	10210.9318
2004-03-05	10250.8087
2004-03-06	10250.8087
2004-03-07	10250.8087
2004-03-08	10207.0766
2004-03-09	10239.4861
2004-03-10	10236.5496
2004-03-11	10226.9024
2004-03-12	10236.3874
2004-03-13	10236.3874
2004-03-14	10236.3874
2004-03-15	10255.5016
2004-03-16	10269.0401
2004-03-17	10300.2065
2004-03-18	10286.3708
2004-03-19	10272.2198
2004-03-20	10272.2198
2004-03-21	10272.2198
2004-03-22	10247.4939
2004-03-23	10234.3247
2004-03-24	10239.36
2004-03-25	10269.6076
2004-03-26	10281.0023
2004-03-27	10281.0023
2004-03-28	10281.0023
2004-03-29	10256.3934
2004-03-30	10264.3291
2004-03-31	10265.1038
2004-04-01	10297.7565
2004-04-02	10302.2963
2004-04-03	10302.2963
2004-04-04	10302.2963
2004-04-05	10275.4175
2004-04-06	10264.8065
2004-04-07	10268.86
2004-04-08	10266.4099
2004-04-09	10266.4099
2004-04-10	10266.4099
2004-04-11	10266.4099
2004-04-12	10266.4099
2004-04-13	10261.0594
2004-04-14	10268.1934
2004-04-15	10246.8903
2004-04-16	10259.5731
2004-04-17	10259.5731
2004-04-18	10259.5731
2004-04-19	10283.2181
2004-04-20	10311.0968
2004-04-21	10283.5244
2004-04-22	10291.6583
2004-04-23	10324.9055
2004-04-24	10324.9055
2004-04-25	10324.9055
2004-04-26	10334.3545
2004-04-27	10325.1217
2004-04-28	10317.7895
2004-04-29	10276.8407
2004-04-30	10258.6994
2004-05-01	10258.6994
2004-05-02	10258.6994
2004-05-03	10255.871
2004-05-04	10257.8436
2004-05-05	10281.1824
2004-05-06	10270.1931
2004-05-07	10272.6882
2004-05-08	10272.6882
2004-05-09	10272.6882
2004-05-10	10189.3495
2004-05-11	10202.2755
2004-05-12	10225.3711
2004-05-13	10226.8213
2004-05-14	10210.7157
2004-05-15	10210.7157
2004-05-16	10210.7157
2004-05-17	10224.065
2004-05-18	10252.0517
2004-05-19	10261.6989
2004-05-20	10243.9178
2004-05-21	10269.8958
2004-05-22	10269.8958
2004-05-23	10269.8958
2004-05-24	10265.9415
2004-05-25	10267.6169
2004-05-26	10304.2149
2004-05-27	10328.6707
2004-05-28	10339.4348
2004-05-29	10339.4348
2004-05-30	10339.4348
2004-05-31	10372.3487
2004-06-01	10378.3838
2004-06-02	10421.3232
2004-06-03	10424.3318
2004-06-04	10423.35
2004-06-05	10423.35
2004-06-06	10423.35
2004-06-07	10436.33
2004-06-08	10447.5175
2004-06-09	10432.1865
2004-06-10	10426.5297
2004-06-11	10433.0602
2004-06-12	10433.0602
2004-06-13	10433.0602
2004-06-14	10427.1061
2004-06-15	10428.0249
2004-06-16	10476.9094
2004-06-17	10508.1479
2004-06-18	10522.0917
2004-06-19	10522.0917
2004-06-20	10522.0917
2004-06-21	10529.0996
2004-06-22	10524.5147
2004-06-23	10535.414
2004-06-24	10519.5155
2004-06-25	10508.2469
2004-06-26	10508.2469
2004-06-27	10508.2469
2004-06-28	10533.1981
2004-06-29	10537.7109
2004-06-30	10557.852
2004-07-01	10519.8488
2004-07-02	10505.3105
2004-07-03	10505.3105
2004-07-04	10505.3105
2004-07-05	10544.1154
2004-07-06	10549.8983
2004-07-07	10552.1322
2004-07-08	10566.5984
2004-07-09	10562.7792
