date	value
2004-01-01	10000.0
2004-01-02	9984.9868
2004-01-03	9984.9868
2004-01-04	9984.9868
2004-01-05	9957.1838
2004-01-06	9963.4225
2004-01-07	9968.7516
2004-01-08	9965.7195
2004-01-09	9969.7163
2004-01-10	9969.7163
2004-01-11	9969.7163
2004-01-12	10022.9425
2004-01-13	10019.5245
2004-01-14	10044.0657
2004-01-15	10039.4074
2004-01-16	10037.5147
2004-01-17	10037.5147
2004-01-18	10037.5147
2004-01-19	10032.0478
2004-01-20	10025.2211
2004-01-21	10031.8365
2004-01-22	10045.0121
2004-01-23	10061.5873
2004-01-24	10061.5873
2004-01-25	10061.5873
2004-01-26	10061.5873
2004-01-27	10024.5963
2004-01-28	10029.0709
2004-01-29	9994.8088
2004-01-30	9995.9756
2004-01-31	9995.9756
2004-02-01	9995.9756
2004-02-02	10027.0403
2004-02-03	10028.5747
2004-02-04	10042.2189
2004-02-05	10040.4273
2004-02-06	10044.0565
2004-02-07	10044.0565
2004-02-08	10044.0565
2004-02-09	10062.7082
2004-02-10	10058.8401
2004-02-11	10055.3394
2004-02-12	10086.9738
2004-02-13	10079.0629
2004-02-14	10079.0629
2004-02-15	10079.0629
2004-02-16	10091.7424
2004-02-17	10084.1255
2004-02-18	10105.8184
2004-02-19	10101.6654
2004-02-20	10104.4586
2004-02-21	10104.4586
2004-02-22	10104.4586
2004-02-23	10077.7582
2004-02-24	10074.7629
2004-02-25	10087.5526
2004-02-26	10102.9609
2004-02-27	10114.4184
2004-02-28	10114.4184
2004-02-29	10114.4184
2004-03-01	10158.7138
2004-03-02	10165.3384
2004-03-03	10151.4277
2004-03-04	10161.3048
2004-03-05	10201.5116
2004-03-06	10201.5116
2004-03-07	10201.5116
2004-03-08	10158.0155
2004-03-09	10185.0651
2004-03-10	10184.8629
2004-03-11	10186.3054
2004-03-12	10203.5697
2004-03-13	10203.5697
2004-03-14	10203.5697
2004-03-15	10209.4133
2004-03-16	10217.2231
2004-03-17	10240.3677
2004-03-18	10227.2656
2004-03-19	10217.3242
2004-03-20	10217.3242
2004-03-21	10217.3242
2004-03-22	10214.3013
2004-03-23	10211.9033
2004-03-24	10216.4054
2004-03-25	10231.8964
2004-03-26	10234.8366
2004-03-27	10234.8366
2004-03-28	10234.8366
2004-03-29	10197.4964
2004-03-30	10209.3674
2004-03-31	10220.7513
2004-04-01	10235.3143
2004-04-02	10231.4829
2004-04-03	10231.4829
2004-04-04	10231.4829
2004-04-05	10193.4813
2004-04-06	10186.9945
2004-04-07	10194.6849
2004-04-08	10190.045
2004-04-09	10190.045
2004-04-10	10190.045
2004-04-11	10190.045
2004-04-12	10190.045
2004-04-13	10199.1779
2004-04-14	10195.7783
2004-04-15	10187.2794
2004-04-16	10200.3999
2004-04-17	10200.3999
2004-04-18	10200.3999
2004-04-19	10219.2261
2004-04-20	10230.1874
2004-04-21	10210.2678
2004-04-22	10220.2827
2004-04-23	10247.6171
2004-04-24	10247.6171
2004-04-25	10247.6171
2004-04-26	10251.1177
2004-04-27	10242.9404
2004-04-28	10237.2622
2004-04-29	10207.1714
2004-04-30	10194.8779
2004-05-01	10194.8779
2004-05-02	10194.8779
2004-05-03	10202.5315
2004-05-04	10204.1394
2004-05-05	10219.2537
2004-05-06	10211.7195
2004-05-07	10215.3488
2004-05-08	10215.3488
2004-05-09	10215.3488
2004-05-10	10146.6683
2004-05-11	10155.8472
2004-05-12	10172.7807
2004-05-13	10170.5021
2004-05-14	10158.5393
2004-05-15	10158.5393
2004-05-16	10158.5393
2004-05-17	10192.0939
2004-05-18	10208.3934
2004-05-19	10207.9248
2004-05-20	10197.2484
2004-05-21	10216.6627
2004-05-22	10216.6627
2004-05-23	10216.6627
2004-05-24	10223.2597
2004-05-25	10230.803
2004-05-26	10254.2325
2004-05-27	10275.567
2004-05-28	10285.6095
2004-05-29	10285.6095
2004-05-30	10285.6095
2004-05-31	10302.8738
2004-06-01	10305.7129
2004-06-02	10336.2998
2004-06-03	10346.1494
2004-06-04	10343.9535
2004-06-05	10343.9535
2004-06-06	10343.9535
2004-06-07	10332.5144
2004-06-08	10339.7178
2004-06-09	10329.5558
2004-06-10	10324.0982
2004-06-11	10323.4917
2004-06-12	10323.4917
2004-06-13	10323.4917
2004-06-14	10320.0003
2004-06-15	10331.0535
2004-06-16	10373.4194
2004-06-17	10391.6668
2004-06-18	10404.8425
2004-06-19	10404.8425
2004-06-20	10404.8425
2004-06-21	10404.2636
2004-06-22	10405.6878
2004-06-23	10406.0277
2004-06-24	10400.2484
2004-06-25	10394.6438
2004-06-26	10394.6438
2004-06-27	10394.6438
2004-06-28	10413.5986
2004-06-29	10411.1822
2004-06-30	10433.9133
2004-07-01	10397.3542
2004-07-02	10389.866
2004-07-03	10389.866
2004-07-04	10389.866
2004-07-05	10431.699
2004-07-06	10437.0373
2004-07-07	10441.1351
2004-07-08	10460.3656
2004-07-09	10457.4806
2004-07-10	10457.4806
2004-07-11	10457.4806
2004-07-12	10457.8849
2004-07-13	10456.0013
2004-07-14	10440.4093
2004-07-15	10436.192
2004-07-16	10428.2076
2004-07-17	10428.2076
2004-07-18	10428.2076
2004-07-19	10461.8265
2004-07-20	10408.8025
2004-07-21	10404.6954
2004-07-22	10397.9423
2004-07-23	10388.598
2004-07-24	10388.598
2004-07-25	10388.598
2004-07-26	10435.3834
2004-07-27	10444.9114
2004-07-28	10435.365
2004-07-29	10439.665
2004-07-30	10448.2926
2004-07-31	10448.2926
2004-08-01	10448.2926
2004-08-02	10482.2607
2004-08-03	10478.5395
2004-08-04	10490.9342
2004-08-05	10482.9498
2004-08-06	10470.2428
2004-08-07	10470.2428
2004-08-08	10470.2428
2004-08-09	10494.3797
2004-08-10	10499.185
2004-08-11	10492.9188
2004-08-12	10482.5915
2004-08-13	10484.475
2004-08-14	10484.475
2004-08-15	10484.475
2004-08-16	10491.9173
2004-08-17	10495.2985
2004-08-18	10513.1049
2004-08-19	10509.6502
2004-08-20	10523.9559
2004-08-21	10523.9559
2004-08-22	10523.9559
2004-08-23	10526.4183
2004-08-24	10524.691
2004-08-25	10531.1869
2004-08-26	10544.9873
2004-08-27	10570.0246
2004-08-28	10570.0246
2004-08-29	10570.0246
2004-08-30	10567.8287
2004-08-31	10567.4244
2004-09-01	10577.6323
2004-09-02	10623.3611
2004-09-03	10612.4733
2004-09-04	10612.4733
2004-09-05	10612.4733
2004-09-06	10598.0389
2004-09-07	10607.5577
2004-09-08	10610.6265
2004-09-09	10643.097
2004-09-10	10649.2897
2004-09-11	10649.2897
2004-09-12	10649.2897
2004-09-13	10664.7347
2004-09-14	10675.6777
2004-09-15	10681.0067
2004-09-16	10673.9963
2004-09-17	10686.3909
2004-09-18	10686.3909
2004-09-19	10686.3909
2004-09-20	10679.8306
2004-09-21	10693.043
2004-09-22	10681.8796
2004-09-23	10677.7266
2004-09-24	10664.1559
2004-09-25	10664.1559
2004-09-26	10664.1559
2004-09-27	10677.3958
2004-09-28	10690.9114
2004-09-29	10695.1011
2004-09-30	10681.9898
2004-10-01	10701.3674
2004-10-02	10701.3674
2004-10-03	10701.3674
2004-10-04	10703.8757
2004-10-05	10709.2691
2004-10-06	10712.4205
2004-10-07	10697.7473
2004-10-08	10684.0479
2004-10-09	10684.0479
2004-10-10	10684.0479
2004-10-11	10724.9898
2004-10-12	10727.985
2004-10-13	10731.8165
2004-10-14	10732.6158
2004-10-15	10746.5173
2004-10-16	10746.5173
2004-10-17	10746.5173
2004-10-18	10746.0579
2004-10-19	10746.7745
2004-10-20	10739.957
2004-10-21	10746.2968
2004-10-22	10729.6389
2004-10-23	10729.6389
2004-10-24	10729.6389
2004-10-25	10732.2759
2004-10-26	10738.8545
2004-10-27	10766.198
2004-10-28	10770.7093
2004-10-29	10770.2132
2004-10-30	10770.2132
2004-10-31	10770.2132
2004-11-01	10785.3734
2004-11-02	10784.5281
2004-11-03	10796.4082
2004-11-04	10810.9712
2004-11-05	10814.4994
2004-11-06	10814.4994
2004-11-07	10814.4994
2004-11-08	10792.6871
2004-11-09	10790.7668
2004-11-10	10792.7698
2004-11-11	10792.0072
2004-11-12	10797.6945
2004-11-13	10797.6945
2004-11-14	10797.6945
2004-11-15	10827.9783
2004-11-16	10820.4992
2004-11-17	10820.343
2004-11-18	10842.431
2004-11-19	10840.7037
2004-11-20	10840.7037
2004-11-21	10840.7037
2004-11-22	10828.4009
2004-11-23	10839.4816
2004-11-24	10861.8728
2004-11-25	10883.5841
2004-11-26	10887.682
2004-11-27	10887.682
2004-11-28	10887.682
2004-11-29	10898.4136
2004-11-30	10911.9659
2004-12-01	10914.8326
2004-12-02	10925.9593
2004-12-03	10916.514
2004-12-04	10916.514
2004-12-05	10916.514
2004-12-06	10939.3646
2004-12-07	10934.1366
2004-12-08	10936.2499
2004-12-09	10936.9665
2004-12-10	10932.6022
2004-12-11	10932.6022
2004-12-12	10932.6022
2004-12-13	10938.7766
2004-12-14	10950.5464
2004-12-15	10952.9077
2004-12-16	10957.6212
2004-12-17	10943.9954
2004-12-18	10943.9954
2004-12-19	10943.9954
2004-12-20	10940.7704
2004-12-21	10938.4458
2004-12-22	10953.9184
2004-12-23	10959.3485
2004-12-24	11026.5405
2004-12-25	11026.5405
2004-12-26	11026.5405
2004-12-27	11021.3401
2004-12-28	11025.1347
2004-12-29	11013.6957
2004-12-30	11015.4965
2004-12-31	11020.1089
2005-01-01	11014.2194
2005-01-02	11014.2194
2005-01-03	11014.5501
2005-01-04	11001.2275
2005-01-05	10991.0288
2005-01-06	10998.2874
2005-01-07	11020.21
2005-01-08	11020.21
2005-01-09	11020.21
2005-01-10	11025.1256
2005-01-11	11033.7531
2005-01-12	11045.7343
2005-01-13	11040.7636
2005-01-14	11051.587
2005-01-15	11051.587
2005-01-16	11051.587
2005-01-17	11076.7806
2005-01-18	11067.2894
2005-01-19	11048.0956
2005-01-20	11045.1922
2005-01-21	11031.9798
2005-01-22	11031.9798
2005-01-23	11031.9798
2005-01-24	11061.1426
2005-01-25	11061.8501
2005-01-26	11061.0231
2005-01-27	11071.0013
2005-01-28	11060.1687
2005-01-29	11060.1687
2005-01-30	11060.1687
2005-01-31	11055.5746
2005-02-01	11069.1821
2005-02-02	11085.0866
2005-02-03	11082.3761
2005-02-04	11099.3464
2005-02-05	11099.3464
2005-02-06	11099.3464
2005-02-07	11111.888
2005-02-08	11113.6429
2005-02-09	11111.888
2005-02-10	11101.1013
2005-02-11	11095.4323
2005-02-12	11095.4323
2005-02-13	11095.4323
2005-02-14	11091.5917
2005-02-15	11090.4707
2005-02-16	11098.4459
2005-02-17	11097.9314
2005-02-18	11098.887
2005-02-19	11098.887
2005-02-20	11098.887
2005-02-21	11085.5276
2005-02-22	11073.5556
2005-02-23	11071.0381
2005-02-24	11065.9387
2005-02-25	11077.7913
2005-02-26	11077.7913
2005-02-27	11077.7913
2005-02-28	11085.5551
2005-03-01	11091.7938
2005-03-02	11104.2344
2005-03-03	11108.6722
2005-03-04	11114.6904
2005-03-05	11114.6904
2005-03-06	11114.6904
2005-03-07	11136.1536
2005-03-08	11136.3557
2005-03-09	11129.722
2005-03-10	11107.3767
2005-03-11	11104.3079
2005-03-12	11104.3079
2005-03-13	11104.3079
2005-03-14	11117.3365
2005-03-15	11092.9148
2005-03-16	11089.3314
2005-03-17	11091.6468
2005-03-18	11094.4767
2005-03-19	11094.4767
2005-03-20	11094.4767
2005-03-21	11108.3231
2005-03-22	11091.2425
2005-03-23	11069.5588
2005-03-24	11069.6966
2005-03-25	11070.8359
2005-03-26	11070.8359
2005-03-27	11070.8359
2005-03-28	11070.6981
2005-03-29	11056.1259
2005-03-30	11065.7366
2005-03-31	11086.2626
2005-04-01	11091.7571
2005-04-02	11091.7571
2005-04-03	11091.7571
2005-04-04	11103.4442
2005-04-05	11115.6551
2005-04-06	11134.27
2005-04-07	11134.2057
2005-04-08	11134.904
2005-04-09	11134.904
2005-04-10	11134.904
2005-04-11	11119.8265
2005-04-12	11125.7987
2005-04-13	11132.2487
2005-04-14	11127.967
2005-04-15	11106.219
2005-04-16	11106.219
2005-04-17	11106.219
2005-04-18	11100.5867
2005-04-19	11121.4527
2005-04-20	11079.2705
2005-04-21	11085.3438
2005-04-22	11078.4712
2005-04-23	11078.4712
2005-04-24	11078.4712
2005-04-25	11082.3669
2005-04-26	11120.3869
2005-04-27	11116.7209
2005-04-28	11112.5771
2005-04-29	11108.8927
2005-04-30	11108.8927
2005-05-01	11108.8927
2005-05-02	11132.313
2005-05-03	11129.0053
2005-05-04	11126.7267
2005-05-05	11127.7282
2005-05-06	11150.7441
2005-05-07	11150.7441
2005-05-08	11150.7441
2005-05-09	11126.5429
2005-05-10	11119.3211
2005-05-11	11136.0617
2005-05-12	11144.4228
2005-05-13	11143.7521
2005-05-14	11143.7521
2005-05-15	11143.7521
2005-05-16	11160.2629
2005-05-17	11160.2262
2005-05-18	11174.7524
2005-05-19	11200.9199
2005-05-20	11192.6507
2005-05-21	11192.6507
2005-05-22	11192.6507
2005-05-23	11211.6607
2005-05-24	11231.1577
2005-05-25	11234.4837
2005-05-26	11239.7944
2005-05-27	11247.6226
2005-05-28	11247.6226
2005-05-29	11247.6226
2005-05-30	11264.7674
2005-05-31	11261.5976
2005-06-01	11292.4877
2005-06-02	11306.4902
2005-06-03	11312.6186
2005-06-04	11312.6186
2005-06-05	11312.6186
2005-06-06	11322.6611
2005-06-07	11335.5152
2005-06-08	11346.0538
2005-06-09	11334.5045
2005-06-10	11337.4079
2005-06-11	11337.4079
2005-06-12	11337.4079
2005-06-13	11337.4079
2005-06-14	11325.2338
2005-06-15	11323.6351
2005-06-16	11326.0607
2005-06-17	11350.7397
2005-06-18	11350.7397
2005-06-19	11350.7397
2005-06-20	11352.5681
2005-06-21	11351.1164
2005-06-22	11353.8453
2005-06-23	11370.6042
2005-06-24	11361.2876
2005-06-25	11361.2876
2005-06-26	11361.2876
2005-06-27	11388.8884
2005-06-28	11408.1557
2005-06-29	11401.4392
2005-06-30	11442.7577
2005-07-01	11420.734
2005-07-02	11420.734
2005-07-03	11420.734
2005-07-04	11426.6787
