date	value
2012-04-20	10000.0
2012-04-21	10000.0
2012-04-22	10000.0
2012-04-23	9899.17
2012-04-24	9930.53
2012-04-25	10009.25
2012-04-26	10062.44
2012-04-27	10033.69
2012-04-28	10033.69
2012-04-29	10033.69
2012-04-30	10025.98
2012-05-01	10084.12
2012-05-02	10115.75
2012-05-03	10099.37
2012-05-04	10018.46
2012-05-05	10018.46
2012-05-06	10018.46
2012-05-07	9990.53
2012-05-08	9961.21
2012-05-09	9962.66
2012-05-10	9906.37
2012-05-11	9918.95
2012-05-12	9918.95
2012-05-13	9918.95
2012-05-14	9869.28
2012-05-15	9831.11
2012-05-16	9768.56
2012-05-17	9688.1
2012-05-18	9638.66
2012-05-19	9638.66
2012-05-20	9638.66
2012-05-21	9730.71
2012-05-22	9774.88
2012-05-23	9818.1
2012-05-24	9763.51
2012-05-25	9749.35
2012-05-26	9749.35
2012-05-27	9749.35
2012-05-28	9705.85
2012-05-29	9797.3
2012-05-30	9771.02
2012-05-31	9744.88
2012-06-01	9580.32
2012-06-02	9580.32
2012-06-03	9580.32
2012-06-04	9468.57
2012-06-05	9503.06
2012-06-06	9575.01
2012-06-07	9633.12
2012-06-08	9680.96
2012-06-09	9680.96
2012-06-10	9680.96
2012-06-11	9629.64
2012-06-12	9707.91
2012-06-13	9637.62
2012-06-14	9650.49
2012-06-15	9645.49
2012-06-16	9645.49
2012-06-17	9645.49
2012-06-18	9667.15
2012-06-19	9693.96
2012-06-20	9695.09
2012-06-21	9601.37
2012-06-22	9622.39
2012-06-23	9622.39
2012-06-24	9622.39
2012-06-25	9541.42
2012-06-26	9518.73
2012-06-27	9565.88
2012-06-28	9562.76
2012-06-29	9639.4
2012-06-30	9641.0
2012-07-01	9641.0
2012-07-02	9649.99
2012-07-03	9726.48
2012-07-04	9717.71
2012-07-05	9688.0
2012-07-06	9650.47
2012-07-07	9650.47
2012-07-08	9650.47
2012-07-09	9615.64
2012-07-10	9584.99
2012-07-11	9535.95
