date	value
2012-04-20	10000.0
2012-04-21	10000.0
2012-04-22	10000.0
2012-04-23	9835.55
2012-04-24	9929.84
2012-04-25	9966.33
2012-04-26	9969.03
2012-04-27	9983.2
2012-04-28	9983.2
2012-04-29	9983.2
2012-04-30	9942.07
2012-05-01	9942.81
2012-05-02	9991.68
2012-05-03	9952.38
2012-05-04	9869.47
2012-05-05	9869.47
2012-05-06	9869.47
2012-05-07	9879.44
2012-05-08	9854.48
2012-05-09	9810.8
2012-05-10	9806.09
2012-05-11	9838.24
2012-05-12	9838.24
2012-05-13	9838.24
2012-05-14	9756.37
2012-05-15	9691.7
2012-05-16	9637.53
2012-05-17	9501.29
2012-05-18	9432.82
2012-05-19	9432.82
2012-05-20	9432.82
2012-05-21	9540.8
2012-05-22	9625.9
2012-05-23	9665.44
2012-05-24	9639.93
2012-05-25	9591.36
2012-05-26	9591.36
2012-05-27	9591.36
2012-05-28	9566.83
2012-05-29	9667.75
2012-05-30	9603.64
2012-05-31	9547.3
2012-06-01	9342.3
2012-06-02	9342.3
2012-06-03	9342.3
2012-06-04	9226.99
2012-06-05	9279.26
2012-06-06	9387.74
2012-06-07	9424.57
2012-06-08	9438.72
2012-06-09	9438.72
2012-06-10	9438.72
2012-06-11	9365.33
2012-06-12	9419.18
2012-06-13	9270.46
2012-06-14	9254.49
2012-06-15	9288.96
2012-06-16	9288.96
2012-06-17	9288.96
2012-06-18	9316.49
2012-06-19	9393.28
2012-06-20	9394.76
2012-06-21	9309.73
2012-06-22	9294.87
2012-06-23	9294.87
2012-06-24	9294.87
2012-06-25	9172.21
2012-06-26	9091.86
2012-06-27	9163.04
2012-06-28	9201.93
2012-06-29	9390.16
2012-06-30	9403.0
2012-07-01	9403.0
2012-07-02	9418.03
2012-07-03	9504.13
2012-07-04	9494.65
2012-07-05	9446.77
2012-07-06	9374.23
2012-07-07	9374.23
2012-07-08	9374.23
2012-07-09	9341.17
2012-07-10	9275.35
2012-07-11	9217.72
