date	value
2004-01-01	10000.0
2004-01-02	9994.4704
2004-01-03	9994.4704
2004-01-04	9994.4704
2004-01-05	9982.7683
2004-01-06	10022.7877
2004-01-07	10005.1158
2004-01-08	10004.0416
2004-01-09	10007.2642
2004-01-10	10007.2642
2004-01-11	10007.2642
2004-01-12	10028.8721
2004-01-13	10018.7814
2004-01-14	10055.3403
2004-01-15	10045.1087
2004-01-16	10042.8458
2004-01-17	10042.8458
2004-01-18	10042.8458
2004-01-19	10079.3696
2004-01-20	10073.5229
2004-01-21	10073.021
2004-01-22	10101.2591
2004-01-23	10119.1776
2004-01-24	10119.1776
2004-01-25	10119.1776
2004-01-26	10119.1776
2004-01-27	10086.0527
2004-01-28	10055.0145
2004-01-29	10014.053
2004-01-30	10019.9348
2004-01-31	10019.9348
2004-02-01	10019.9348
2004-02-02	10061.1077
2004-02-03	10042.8458
2004-02-04	10044.0345
2004-02-05	10037.4307
2004-02-06	10058.6951
2004-02-07	10058.6951
2004-02-08	10058.6951
2004-02-09	10081.8878
2004-02-10	10058.2548
2004-02-11	10067.2008
2004-02-12	10116.0958
2004-02-13	10110.2316
2004-02-14	10110.2316
2004-02-15	10110.2316
2004-02-16	10115.1008
2004-02-17	10129.1098
2004-02-18	10169.8776
2004-02-19	10170.5292
2004-02-20	10175.4513
2004-02-21	10175.4513
2004-02-22	10175.4513
2004-02-23	10157.4359
2004-02-24	10128.5815
2004-02-25	10147.7327
2004-02-26	10167.192
2004-02-27	10187.1357
2004-02-28	10187.1357
2004-02-29	10187.1357
2004-03-01	10260.8347
2004-03-02	10283.8073
2004-03-03	10279.7834
2004-03-04	10299.6126
2004-03-05	10340.8999
2004-03-06	10340.8999
2004-03-07	10340.8999
2004-03-08	10296.5396
2004-03-09	10339.6055
2004-03-10	10333.6885
2004-03-11	10311.8957
2004-03-12	10311.2001
2004-03-13	10311.2001
2004-03-14	10311.2001
2004-03-15	10331.8658
2004-03-16	10351.3516
2004-03-17	10392.3131
2004-03-18	10376.728
2004-03-19	10358.8976
2004-03-20	10358.8976
2004-03-21	10358.8976
2004-03-22	10319.0455
2004-03-23	10293.6955
2004-03-24	10300.8189
2004-03-25	10345.6987
2004-03-26	10368.0109
2004-03-27	10368.0109
2004-03-28	10368.0109
2004-03-29	10354.5214
2004-03-30	10356.1592
2004-03-31	10395.3509
2004-04-01	10396.5132
2004-04-02	10409.4919
2004-04-03	10409.4919
2004-04-04	10409.4919
2004-04-05	10400.2818
2004-04-06	10384.996
2004-04-07	10383.596
2004-04-08	10383.2262
2004-04-09	10383.2262
2004-04-10	10383.2262
2004-04-11	10383.2262
2004-04-12	10383.2262
2004-04-13	10410.1964
2004-04-14	10427.9827
2004-04-15	10391.8552
2004-04-16	10404.2881
2004-04-17	10404.2881
2004-04-18	10404.2881
2004-04-19	10441.842
2004-04-20	10488.5269
2004-04-21	10450.8673
2004-04-22	10457.3391
2004-04-23	10498.8465
2004-04-24	10498.8465
2004-04-25	10498.8465
2004-04-26	10509.1397
2004-04-27	10498.1597
2004-04-28	10491.1156
2004-04-29	10436.7703
2004-04-30	10412.3272
2004-05-01	10412.3272
2004-05-02	10412.3272
2004-05-03	10398.4855
2004-05-04	10401.083
2004-05-05	10433.5564
2004-05-06	10418.9046
2004-05-07	10419.16
2004-05-08	10419.16
2004-05-09	10419.16
2004-05-10	10338.5225
2004-05-11	10356.1152
2004-05-12	10385.7973
2004-05-13	10391.0716
2004-05-14	10370.1242
2004-05-15	10370.1242
2004-05-16	10370.1242
2004-05-17	10356.7227
2004-05-18	10397.5522
2004-05-19	10419.8204
2004-05-20	10394.1622
2004-05-21	10428.4758
2004-05-22	10428.4758
