date	value
2004-01-01	10000.0
2004-01-02	9996.6
2004-01-03	9996.6
2004-01-04	9996.6
2004-01-05	9977.5016
2004-01-06	10040.415
2004-01-07	10007.528
2004-01-08	10008.2902
2004-01-09	10009.4122
2004-01-10	10009.4122
2004-01-11	10009.4122
2004-01-12	9977.1333
2004-01-13	9958.5059
2004-01-14	10010.6968
2004-01-15	9995.2725
2004-01-16	10005.1471
2004-01-17	10005.1471
2004-01-18	10005.1471
2004-01-19	10059.4534
2004-01-20	10044.2004
2004-01-21	10042.0079
2004-01-22	10081.909
2004-01-23	10101.6069
2004-01-24	10101.6069
2004-01-25	10101.6069
2004-01-26	10101.6069
2004-01-27	10062.1512
2004-01-28	10013.9256
2004-01-29	9957.521
2004-01-30	9966.3337
2004-01-31	9966.3337
2004-02-01	9966.3337
2004-02-02	10045.1938
2004-02-03	10009.849
2004-02-04	10004.0424
2004-02-05	9994.4418
2004-02-06	10029.6411
2004-02-07	10029.6411
2004-02-08	10029.6411
2004-02-09	10043.9863
2004-02-10	10011.2878
2004-02-11	10021.4022
2004-02-12	10083.0309
2004-02-13	10072.0172
2004-02-14	10072.0172
2004-02-15	10072.0172
2004-02-16	10077.8153
2004-02-17	10108.7239
2004-02-18	10164.7687
2004-02-19	10165.3682
2004-02-20	10179.8847
2004-02-21	10179.8847
2004-02-22	10179.8847
2004-02-23	10148.6763
2004-02-24	10093.8305
2004-02-25	10123.7542
2004-02-26	10144.0088
2004-02-27	10170.1385
2004-02-28	10170.1385
2004-02-29	10170.1385
2004-03-01	10281.2604
2004-03-02	10317.9755
2004-03-03	10320.2194
2004-03-04	10351.4106
2004-03-05	10386.6441
2004-03-06	10386.6441
2004-03-07	10386.6441
2004-03-08	10330.4195
2004-03-09	10373.4551
2004-03-10	10375.0395
2004-03-11	10326.4371
2004-03-12	10320.6904
2004-03-13	10320.6904
2004-03-14	10320.6904
2004-03-15	10320.836
2004-03-16	10357.2001
2004-03-17	10410.6242
2004-03-18	10395.9792
2004-03-19	10360.0948
2004-03-20	10360.0948
2004-03-21	10360.0948
2004-03-22	10273.7752
2004-03-23	10225.8236
2004-03-24	10239.0469
2004-03-25	10318.2153
2004-03-26	10346.0236
2004-03-27	10346.0236
2004-03-28	10346.0236
2004-03-29	10358.3734
2004-03-30	10353.1491
2004-03-31	10338.8296
2004-04-01	10405.203
2004-04-02	10442.3892
2004-04-03	10442.3892
2004-04-04	10442.3892
2004-04-05	10450.491
2004-04-06	10422.9311
2004-04-07	10420.6102
2004-04-08	10424.5412
