date	value
2008-06-30	10000.0
2008-07-01	9977.1
2008-07-02	9784.73
2008-07-03	9794.45
2008-07-04	9710.41
2008-07-05	9710.41
2008-07-06	9710.41
2008-07-07	9786.07
2008-07-08	9817.84
2008-07-09	9742.19
2008-07-10	9661.84
2008-07-11	9559.54
2008-07-12	9559.54
2008-07-13	9559.54
2008-07-14	9483.11
2008-07-15	9303.64
2008-07-16	9434.25
2008-07-17	9581.59
2008-07-18	9617.0
2008-07-19	9617.0
2008-07-20	9617.0
2008-07-21	9622.25
2008-07-22	9717.22
2008-07-23	9837.91
2008-07-24	9777.41
2008-07-25	9743.33
2008-07-26	9743.33
2008-07-27	9743.33
2008-07-28	9660.25
2008-07-29	9764.79
2008-07-30	9991.13
2008-07-31	9953.14
2008-08-01	9979.3
2008-08-02	9979.3
2008-08-03	9979.3
2008-08-04	9820.8
2008-08-05	10142.63
2008-08-06	10244.54
2008-08-07	10158.3
2008-08-08	10380.31
2008-08-09	10380.31
2008-08-10	10380.31
2008-08-11	10323.23
2008-08-12	10362.46
2008-08-13	10289.77
2008-08-14	10344.6
2008-08-15	10345.46
2008-08-16	10345.46
2008-08-17	10345.46
2008-08-18	10257.59
2008-08-19	10113.04
2008-08-20	10185.73
2008-08-21	10131.84
2008-08-22	10317.27
2008-08-23	10317.27
2008-08-24	10317.27
2008-08-25	10152.31
2008-08-26	10274.57
2008-08-27	10309.46
2008-08-28	10339.6
2008-08-29	10380.82
2008-08-30	10380.82
2008-08-31	10380.82
2008-09-01	10416.54
2008-09-02	10508.29
2008-09-03	10478.44
2008-09-04	10307.55
2008-09-05	10450.93
2008-09-06	10450.93
2008-09-07	10450.93
2008-09-08	10323.89
2008-09-09	10194.27
2008-09-10	10238.18
2008-09-11	10334.21
2008-09-12	10172.28
2008-09-13	10172.28
2008-09-14	10172.28
2008-09-15	10113.17
2008-09-16	10209.31
2008-09-17	10117.45
2008-09-18	10085.05
2008-09-19	10121.11
2008-09-20	10121.11
2008-09-21	10121.11
2008-09-22	9646.14
2008-09-23	9692.03
2008-09-24	9626.27
2008-09-25	9755.23
2008-09-26	9713.46
2008-09-27	9713.46
2008-09-28	9713.46
2008-09-29	9446.93
