date	value
2008-06-30	10000.0
2008-07-01	9728.54
2008-07-02	9724.9
2008-07-03	9825.22
2008-07-04	10018.47
2008-07-05	10018.47
2008-07-06	10018.47
2008-07-07	9871.88
2008-07-08	9416.09
2008-07-09	9440.37
2008-07-10	9168.84
2008-07-11	8987.9
2008-07-12	8987.9
2008-07-13	8987.9
2008-07-14	8732.68
2008-07-15	8504.08
2008-07-16	8533.2
2008-07-17	8954.07
2008-07-18	9038.99
2008-07-19	9038.99
2008-07-20	9038.99
2008-07-21	9434.58
2008-07-22	9419.38
2008-07-23	9909.97
2008-07-24	10274.71
2008-07-25	9679.17
2008-07-26	9679.17
2008-07-27	9679.17
2008-07-28	9582.31
2008-07-29	9322.85
2008-07-30	9645.98
2008-07-31	9522.94
2008-08-01	9563.39
2008-08-02	9563.39
2008-08-03	9563.39
2008-08-04	9374.48
2008-08-05	9460.82
2008-08-06	9828.2
2008-08-07	9924.13
2008-08-08	9843.02
2008-08-09	9843.02
2008-08-10	9843.02
2008-08-11	10183.29
2008-08-12	10420.23
2008-08-13	9939.93
2008-08-14	9651.92
2008-08-15	9840.09
2008-08-16	9840.09
2008-08-17	9840.09
2008-08-18	9864.6
2008-08-19	9530.51
2008-08-20	9538.89
2008-08-21	9533.93
2008-08-22	9556.91
2008-08-23	9556.91
2008-08-24	9556.91
2008-08-25	9876.97
2008-08-26	9827.15
2008-08-27	9752.8
2008-08-28	10000.35
2008-08-29	10173.58
2008-08-30	10173.58
2008-08-31	10173.58
2008-09-01	10238.55
2008-09-02	10479.55
2008-09-03	10539.52
2008-09-04	10378.92
2008-09-05	10224.9
2008-09-06	10224.9
2008-09-07	10224.9
2008-09-08	10684.52
2008-09-09	10488.0
2008-09-10	10623.1
2008-09-11	10459.75
2008-09-12	10273.04
2008-09-13	10273.04
2008-09-14	10273.04
2008-09-15	9941.7
2008-09-16	9802.68
2008-09-17	9853.6
2008-09-18	9707.79
2008-09-19	10285.21
2008-09-20	10285.21
2008-09-21	10285.21
2008-09-22	10652.61
2008-09-23	10171.29
2008-09-24	10329.05
2008-09-25	10303.92
2008-09-26	10097.41
2008-09-27	10097.41
2008-09-28	10097.41
2008-09-29	10001.23
2008-09-30	9654.59
2008-10-01	9910.12
2008-10-02	10121.11
2008-10-03	9972.14
2008-10-04	9972.14
2008-10-05	9972.14
2008-10-06	9470.11
2008-10-07	9714.07
2008-10-08	9402.66
2008-10-09	8824.84
2008-10-10	8131.54
2008-10-11	8131.54
2008-10-12	8131.54
2008-10-13	8678.85
2008-10-14	8407.67
2008-10-15	8785.77
2008-10-16	8398.49
2008-10-17	8679.94
2008-10-18	8679.94
2008-10-19	8679.94
2008-10-20	8733.85
2008-10-21	8993.15
2008-10-22	8309.28
2008-10-23	7758.04
2008-10-24	7069.05
2008-10-25	7069.05
2008-10-26	7069.05
2008-10-27	7167.36
2008-10-28	7222.37
2008-10-29	6813.18
2008-10-30	7145.26
2008-10-31	7526.03
2008-11-01	7526.03
2008-11-02	7526.03
2008-11-03	7826.22
2008-11-04	7755.28
2008-11-05	8077.42
2008-11-06	7704.66
2008-11-07	7367.11
2008-11-08	7367.11
2008-11-09	7367.11
2008-11-10	7669.01
2008-11-11	7896.47
2008-11-12	8043.75
2008-11-13	7709.73
2008-11-14	7822.6
2008-11-15	7822.6
2008-11-16	7822.6
2008-11-17	7835.34
2008-11-18	7541.54
2008-11-19	7600.23
2008-11-20	7426.66
2008-11-21	7093.52
2008-11-22	7093.52
2008-11-23	7093.52
2008-11-24	7115.64
2008-11-25	7632.3
2008-11-26	7731.54
2008-11-27	7797.59
2008-11-28	8005.11
2008-11-29	8005.11
2008-11-30	8005.11
2008-12-01	7948.29
2008-12-02	7568.14
2008-12-03	7304.04
2008-12-04	7161.49
2008-12-05	7168.59
2008-12-06	7168.59
2008-12-07	7168.59
2008-12-08	7357.26
2008-12-09	7185.05
2008-12-10	7325.23
2008-12-11	7367.68
2008-12-12	7138.28
2008-12-13	7138.28
2008-12-14	7138.28
2008-12-15	7213.71
2008-12-16	7078.84
2008-12-17	7082.23
2008-12-18	7232.5
2008-12-19	7226.65
2008-12-20	7226.65
2008-12-21	7226.65
2008-12-22	7164.07
2008-12-23	7557.44
2008-12-24	7510.94
2008-12-25	7510.94
2008-12-26	7510.94
2008-12-27	7510.94
2008-12-28	7510.94
2008-12-29	7441.7
2008-12-30	7354.2
2008-12-31	7322.02
2009-01-01	7363.1
2009-01-02	7461.97
2009-01-03	7461.97
2009-01-04	7461.97
2009-01-05	7301.57
2009-01-06	7337.4
2009-01-07	7477.61
2009-01-08	7587.91
2009-01-09	7649.4
2009-01-10	7649.4
2009-01-11	7649.4
2009-01-12	7535.26
2009-01-13	7270.89
2009-01-14	7101.1
2009-01-15	6887.23
2009-01-16	6826.44
2009-01-17	6826.44
2009-01-18	6826.44
2009-01-19	6922.6
2009-01-20	6856.24
2009-01-21	6690.08
2009-01-22	7009.22
2009-01-23	6664.02
2009-01-24	6664.02
2009-01-25	6664.02
2009-01-26	6663.99
