date	value
2007-12-31	10000.0
2008-01-01	9999.47
2008-01-02	9987.16
2008-01-03	9932.87
2008-01-04	9923.44
2008-01-05	9923.44
2008-01-06	9923.44
2008-01-07	9822.84
2008-01-08	9763.81
2008-01-09	9749.0
2008-01-10	9716.21
2008-01-11	9619.63
2008-01-12	9619.63
2008-01-13	9619.63
2008-01-14	9625.7
2008-01-15	9585.43
2008-01-16	9511.75
2008-01-17	9459.18
2008-01-18	9444.84
2008-01-19	9444.84
2008-01-20	9444.84
2008-01-21	9323.77
2008-01-22	9046.08
2008-01-23	9268.28
2008-01-24	9394.64
2008-01-25	9542.55
2008-01-26	9542.55
2008-01-27	9542.55
2008-01-28	9539.21
2008-01-29	9417.26
2008-01-30	9341.68
2008-01-31	9372.6
2008-02-01	9526.74
2008-02-02	9526.74
2008-02-03	9526.74
2008-02-04	9509.97
2008-02-05	9414.91
2008-02-06	9284.79
2008-02-07	9288.69
2008-02-08	9329.5
2008-02-09	9329.5
2008-02-10	9329.5
2008-02-11	9234.28
2008-02-12	9340.24
2008-02-13	9301.01
2008-02-14	9390.35
2008-02-15	9302.87
2008-02-16	9302.87
2008-02-17	9302.87
2008-02-18	9287.97
2008-02-19	9312.29
2008-02-20	9220.12
2008-02-21	9293.91
2008-02-22	9254.54
2008-02-23	9254.54
2008-02-24	9254.54
2008-02-25	9333.58
2008-02-26	9377.6
2008-02-27	9430.4
2008-02-28	9303.54
2008-02-29	9270.61
2008-03-01	9270.61
2008-03-02	9270.61
2008-03-03	9109.44
2008-03-04	9152.62
2008-03-05	9174.58
2008-03-06	9203.78
2008-03-07	9036.94
2008-03-08	9036.94
2008-03-09	9036.94
2008-03-10	9022.86
2008-03-11	9001.19
2008-03-12	9092.43
2008-03-13	8978.18
2008-03-14	9035.68
2008-03-15	9035.68
2008-03-16	9035.68
2008-03-17	8940.7
2008-03-18	9015.32
2008-03-19	9147.4
2008-03-20	9063.26
2008-03-21	9062.05
2008-03-22	9062.05
2008-03-23	9062.05
2008-03-24	9060.19
2008-03-25	9233.82
2008-03-26	9249.05
2008-03-27	9227.49
2008-03-28	9209.69
2008-03-29	9209.69
2008-03-30	9209.69
2008-03-31	9242.23
2008-04-01	9287.95
2008-04-02	9388.26
2008-04-03	9454.73
2008-04-04	9450.7
2008-04-05	9450.7
2008-04-06	9450.7
2008-04-07	9444.46
2008-04-08	9393.86
2008-04-09	9334.86
2008-04-10	9283.05
2008-04-11	9271.73
2008-04-12	9271.73
2008-04-13	9271.73
2008-04-14	9216.02
2008-04-15	9285.75
2008-04-16	9334.45
2008-04-17	9358.77
2008-04-18	9327.96
2008-04-19	9327.96
2008-04-20	9327.96
2008-04-21	9445.59
2008-04-22	9382.32
2008-04-23	9436.74
2008-04-24	9391.12
2008-04-25	9392.93
2008-04-26	9392.93
2008-04-27	9392.93
2008-04-28	9446.71
2008-04-29	9454.57
2008-04-30	9437.32
2008-05-01	9454.58
2008-05-02	9528.99
2008-05-03	9528.99
2008-05-04	9528.99
2008-05-05	9514.28
2008-05-06	9491.32
2008-05-07	9454.81
2008-05-08	9517.48
2008-05-09	9530.11
2008-05-10	9530.11
2008-05-11	9530.11
2008-05-12	9574.34
2008-05-13	9562.28
2008-05-14	9619.85
2008-05-15	9639.09
2008-05-16	9640.07
2008-05-17	9640.07
2008-05-18	9640.07
2008-05-19	9637.42
2008-05-20	9589.03
2008-05-21	9506.92
2008-05-22	9528.93
2008-05-23	9450.27
2008-05-24	9450.27
2008-05-25	9450.27
2008-05-26	9410.07
2008-05-27	9418.76
2008-05-28	9365.93
2008-05-29	9432.79
2008-05-30	9388.02
2008-05-31	9388.02
2008-06-01	9388.02
2008-06-02	9399.74
2008-06-03	9356.02
2008-06-04	9359.45
