date	value
2004-01-01	10000.0
2004-01-02	9996.5012
2004-01-03	9996.5012
2004-01-04	9996.5012
2004-01-05	9983.7518
2004-01-06	10046.6564
2004-01-07	10013.702
2004-01-08	10014.4164
2004-01-09	10015.488
2004-01-10	10015.488
2004-01-11	10015.488
2004-01-12	9997.8018
2004-01-13	9979.0898
2004-01-14	10031.3332
2004-01-15	10015.8269
2004-01-16	10025.6729
2004-01-17	10025.6729
2004-01-18	10025.6729
2004-01-19	10084.227
2004-01-20	10068.8855
2004-01-21	10066.6324
2004-01-22	10106.5843
2004-01-23	10126.2763
2004-01-24	10126.2763
2004-01-25	10126.2763
2004-01-26	10126.2763
2004-01-27	10029.5655
2004-01-28	9981.4437
2004-01-29	9925.1703
2004-01-30	9933.908
2004-01-31	9933.908
2004-02-01	9933.908
2004-02-02	9992.7918
2004-02-03	9957.5751
2004-02-04	9951.7499
2004-02-05	9942.1604
2004-02-06	9977.1206
2004-02-07	9977.1206
2004-02-08	9977.1206
2004-02-09	10018.5288
2004-02-10	9985.8675
2004-02-11	9995.915
2004-02-12	10057.3267
2004-02-13	10046.2992
2004-02-14	10046.2992
2004-02-15	10046.2992
2004-02-16	10007.5929
2004-02-17	10038.2392
2004-02-18	10093.8348
2004-02-19	10094.4393
2004-02-20	10108.8557
2004-02-21	10108.8557
2004-02-22	10108.8557
2004-02-23	10137.2397
2004-02-24	10082.4593
2004-02-25	10112.3545
2004-02-26	10132.5778
2004-02-27	10158.672
2004-02-28	10158.672
2004-02-29	10158.672
2004-03-01	10221.0362
2004-03-02	10257.4894
2004-03-03	10259.6692
2004-03-04	10290.627
2004-03-05	10325.6055
2004-03-06	10325.6055
2004-03-07	10325.6055
2004-03-08	10269.5519
2004-03-09	10271.4661
2004-03-10	10272.9866
2004-03-11	10224.8189
2004-03-12	10219.067
2004-03-13	10219.067
2004-03-14	10219.067
2004-03-15	10278.4179
2004-03-16	10314.578
2004-03-17	10367.7281
2004-03-18	10353.0919
2004-03-19	10317.3074
2004-03-20	10317.3074
2004-03-21	10317.3074
2004-03-22	10167.19
2004-03-23	10119.6909
2004-03-24	10132.7243
2004-03-25	10211.0253
2004-03-26	10238.4934
2004-03-27	10238.4934
2004-03-28	10238.4934
2004-03-29	10231.3219
2004-03-30	10226.1195
2004-03-31	10236.1945
2004-04-01	10277.4287
2004-04-02	10314.1109
2004-04-03	10314.1109
2004-04-04	10314.1109
2004-04-05	10417.6085
2004-04-06	10390.0763
2004-04-07	10387.7133
2004-04-08	10391.5784
2004-04-09	10391.5784
2004-04-10	10391.5784
2004-04-11	10391.5784
2004-04-12	10391.5784
2004-04-13	10343.365
2004-04-14	10386.0555
2004-04-15	10322.6929
2004-04-16	10338.5107
2004-04-17	10338.5107
2004-04-18	10338.5107
2004-04-19	10387.6675
2004-04-20	10471.006
2004-04-21	10415.9507
2004-04-22	10427.0607
2004-04-23	10469.5589
2004-04-24	10469.5589
2004-04-25	10469.5589
2004-04-26	10464.961
2004-04-27	10450.4255
2004-04-28	10434.9925
2004-04-29	10368.6441
2004-04-30	10326.4756
2004-05-01	10326.4756
2004-05-02	10326.4756
2004-05-03	10323.7828
2004-05-04	10321.8045
2004-05-05	10369.5508
2004-05-06	10342.4216
2004-05-07	10345.902
2004-05-08	10345.902
2004-05-09	10345.902
2004-05-10	10224.1686
2004-05-11	10250.7117
2004-05-12	10289.9217
2004-05-13	10307.4247
2004-05-14	10277.2364
2004-05-15	10277.2364
2004-05-16	10277.2364
2004-05-17	10261.7209
2004-05-18	10322.7296
2004-05-19	10357.7264
2004-05-20	10316.6113
2004-05-21	10365.1086
2004-05-22	10365.1086
2004-05-23	10365.1086
2004-05-24	10297.9084
2004-05-25	10279.8742
2004-05-26	10354.5207
2004-05-27	10387.5759
2004-05-28	10399.959
2004-05-29	10399.959
2004-05-30	10399.959
2004-05-31	10432.3821
